scorer,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180
bodyparts,LE,LE,LE,RE,RE,RE,MA_C,MA_C,MA_C
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,567.949,843.38,0.199319,575.76276,843.2358,0.32209915,591.65814,871.87146,0.11210045
1,564.6165,838.14264,0.36129764,573.58154,846.55634,0.47497824,590.66394,872.0049,0.2061529
2,565.4131,844.3858,0.2287269,571.5553,844.42334,0.29296815,561.985,860.5991,0.11948527
3,565.8934,839.69867,0.73796743,571.6336,850.0155,0.50995576,548.5157,850.5981,0.3391502
4,561.17145,848.1506,0.40718746,578.19867,843.3968,0.44649538,587.7536,873.9984,0.28541458
5,563.7399,843.55444,0.64152956,582.64777,844.74945,0.6203555,578.6868,871.26135,0.40285102
6,568.5625,840.4539,0.4513705,578.95996,846.78705,0.42397892,565.4656,858.33,0.17897657
7,565.7379,844.20483,0.6706543,581.6359,846.0767,0.67236423,590.9256,869.54095,0.3201918
8,565.6656,844.8776,0.64275867,581.11475,844.8741,0.76334566,591.24133,868.7665,0.33931857
9,568.3348,843.56586,0.55396396,583.9136,843.43774,0.80165577,587.8693,874.0336,0.4230063
10,561.7999,859.60657,0.27882674,575.49,846.9516,0.456045,544.17914,849.8588,0.2713988
11,565.1676,848.65125,0.38349965,578.62006,844.1637,0.59574753,595.7989,869.58673,0.2946558
12,566.9714,844.0237,0.44493407,577.9204,844.5739,0.655163,588.736,869.4636,0.22500722
13,564.1333,844.0077,0.72242737,583.829,845.4677,0.725669,586.4621,873.7668,0.3748269
14,562.0008,844.22406,0.63383055,578.5168,844.84235,0.67697287,594.49066,872.397,0.3203674
15,579.6498,872.76855,0.2792548,582.46576,848.7379,0.31556943,602.77893,875.93677,0.2485427
16,564.7728,853.81104,0.37042978,581.06,843.80035,0.4808305,596.61896,877.06903,0.35819408
17,563.71735,851.48083,0.33066678,581.25006,846.3134,0.60753644,598.56805,879.1435,0.303387
18,567.46326,843.325,0.32515335,579.08234,847.6175,0.5745745,550.5776,850.33844,0.28128892
19,564.0341,862.66205,0.3008406,579.65686,843.11993,0.4529407,603.47614,877.4772,0.34179926
20,557.372,857.3052,0.46549985,582.98334,843.69403,0.6148378,594.0447,877.1197,0.48995197
21,568.27545,852.6621,0.3372743,583.827,845.20483,0.5423775,594.1606,876.01355,0.30547583
22,565.0536,852.63763,0.47920033,586.95807,845.2316,0.706732,589.15063,878.5928,0.5335375
