scorer,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180
bodyparts,LE,LE,LE,RE,RE,RE,MA_C,MA_C,MA_C
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,726.70056,271.36005,0.68875545,756.1958,228.8535,0.77570754,746.4597,262.19632,0.20825307
1,731.9428,269.0334,0.6395308,760.54504,228.54126,0.7407566,750.92993,258.94675,0.17547847
2,737.1621,267.3702,0.65764254,764.65955,224.06924,0.7657376,760.18646,259.168,0.1764699
3,741.1977,264.1311,0.6108413,767.6481,219.84279,0.7676031,762.0922,252.52635,0.28052843
4,744.89777,261.92258,0.6405195,772.3267,218.46153,0.83752495,765.73676,250.16061,0.2935855
5,747.10535,257.57504,0.7029729,777.09015,216.58076,0.7563034,772.2688,251.55498,0.24390495
6,748.73004,257.15497,0.67715913,779.0259,215.81364,0.7708077,773.6282,251.60522,0.2577995
7,754.46826,254.55003,0.6829535,782.13116,212.14877,0.72682726,775.8837,249.89984,0.23283535
8,759.1937,251.26622,0.609302,785.68994,208.5581,0.736314,781.69464,237.59616,0.23415057
9,763.3255,247.94022,0.6104484,790.07715,204.81528,0.84789544,786.337,237.33505,0.22655405
10,765.2593,244.88065,0.75136375,795.38513,203.20946,0.8746155,790.3354,237.22598,0.30075407
11,769.44147,242.24377,0.7160156,798.43726,200.39056,0.752902,793.02386,234.6463,0.29806763
12,772.8319,239.07918,0.6681978,801.8892,196.61316,0.7684019,794.1044,231.9153,0.24734087
13,778.4877,236.03644,0.63566697,805.26135,193.40814,0.7744891,805.3966,230.16548,0.20728242
14,780.95874,232.45395,0.6803906,809.15,190.44002,0.81768435,806.953,229.34973,0.19453624
15,783.69604,230.80374,0.68041927,813.05084,187.9292,0.80163205,807.12354,227.15355,0.21909903
16,788.2694,230.27849,0.676599,816.5699,186.24127,0.8420463,810.59125,224.68315,0.29589847
17,791.65094,229.16583,0.6987289,820.8046,185.41183,0.860073,814.5674,220.292,0.32806337
18,796.0002,227.74188,0.7846995,825.76166,185.21774,0.81843305,822.43036,221.9941,0.2632514
19,800.2852,227.65013,0.7547951,829.1261,183.2565,0.78396213,825.517,221.06169,0.3008807
20,803.04065,224.78001,0.72152877,832.65393,181.5686,0.73954976,825.8966,220.29015,0.27510276
21,807.6098,223.13817,0.7765971,836.12054,179.57503,0.8005623,834.39343,219.4676,0.27754524
22,811.6079,221.81828,0.73107654,840.9286,179.06891,0.75840956,838.8737,221.80318,0.2527964
