scorer,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180
bodyparts,LE,LE,LE,RE,RE,RE,MA_C,MA_C,MA_C
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
51,1060.1432,57.36578,0.8720093,1061.8893,27.037369,0.7921844,1096.0925,63.889435,0.730793
52,1060.7042,54.59803,0.8367951,1062.1228,27.780676,0.7529469,1097.0231,64.52183,0.71523035
53,1060.4509,50.902912,0.8209424,1062.5272,27.19991,0.64847946,1097.5538,63.900078,0.69776493
54,1059.669,48.5143,0.74025905,1063.2516,25.367865,0.6604931,1095.9626,63.151833,0.6918896
55,1059.8973,46.974556,0.7114823,1063.1311,24.565533,0.7008983,1095.3906,62.475227,0.678258
56,1060.9629,49.563976,0.8650996,1062.5703,23.35362,0.7314571,1095.289,59.114323,0.62967545
57,1061.5005,47.37232,0.787636,1063.6624,24.800287,0.6221864,1096.5657,63.678173,0.63314
58,1061.7349,48.559807,0.85129815,1064.8016,22.638885,0.74920315,1095.3204,58.02792,0.6562721
59,1061.7062,49.116127,0.8856429,1064.9022,21.693245,0.7528241,1096.441,58.796345,0.66180116
60,1062.6556,48.765755,0.90178645,1065.6582,20.93168,0.7674969,1097.4722,57.89241,0.6590415
61,1063.6276,48.774506,0.89237416,1066.5101,21.22838,0.7564767,1097.6929,57.856518,0.6486284
