scorer,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010
bodyparts,center of carapace,center of carapace,center of carapace
coords,x,y,likelihood
0,593.7508,731.6542,0.81517005
1,596.43085,733.7922,0.8711994
2,599.4768,734.0444,0.8047102
3,602.5992,737.27576,0.92022383
4,605.81476,743.9776,0.7747338
5,613.27594,745.2232,0.8252203
6,615.9642,746.989,0.80477726
7,619.37897,752.4956,0.68954533
8,628.37286,749.8396,0.91498715
9,632.5835,755.42334,0.7571922
10,635.79913,754.9549,0.91165257
11,640.9617,760.3707,0.8880775
12,646.0001,761.029,0.8257837
13,651.07117,760.75543,0.87248504
14,657.8579,763.043,0.77453446
15,663.81323,762.3784,0.8722414
16,664.7565,764.00165,0.9161831
17,665.8545,765.98706,0.8636157
18,668.3762,766.8798,0.80344075
19,669.7796,768.5306,0.8065382
20,671.83014,769.27795,0.8679576
21,672.37585,769.75806,0.8848792
22,673.5237,769.53723,0.89951444
23,674.34595,769.753,0.9051707
24,675.2371,770.6727,0.9186405
25,675.0804,771.63153,0.9177936
26,674.21674,772.6713,0.8851835
27,673.8662,773.2733,0.88311464
28,673.0633,773.2558,0.8602821
29,672.6317,773.626,0.84345293
30,672.2931,773.7591,0.84154123
31,671.8709,774.29517,0.83149886
32,671.63837,774.5888,0.83695763
33,672.2488,775.0602,0.8474884
34,672.317,775.7038,0.84235567
35,673.40735,777.0565,0.86235327
36,673.11884,777.5021,0.8745964
37,673.10474,777.5753,0.87937725
38,673.0592,777.84094,0.9078702
39,673.10785,778.06445,0.9175939
40,672.8569,778.139,0.90352654
41,673.3805,777.96765,0.8956808
42,673.5941,777.76385,0.8817186
43,673.7218,777.3841,0.8643258
44,673.73035,777.3572,0.86112076
45,672.9596,777.25397,0.84220165
46,673.1891,777.7446,0.84772354
47,673.4041,778.1447,0.87186056
48,673.7654,778.56696,0.8856302
49,673.938,779.5336,0.8715225
50,674.6145,779.63153,0.8792191
51,674.64417,779.64777,0.851111
52,674.6197,779.65533,0.8378739
53,674.9697,779.86945,0.8613407
54,675.1643,780.2162,0.8729252
55,675.75836,780.2974,0.87249595
56,676.52386,780.50195,0.87974584
57,676.70917,780.5729,0.8976489
58,677.05585,780.59564,0.90070665
59,678.01917,780.48206,0.9156283
60,678.5852,780.9808,0.90628344
61,678.7966,781.5244,0.902513
62,678.958,782.09564,0.8858928
63,678.8454,783.3478,0.86387575
64,679.1723,783.272,0.8515652
65,679.617,784.16437,0.8831066
66,680.3046,784.9304,0.93618846
67,680.8128,785.6323,0.9700337
68,681.51715,786.13513,0.98723567
69,681.68976,786.82587,1.0
70,682.04596,787.5289,1.0
71,682.4599,788.3557,1.0
72,682.7999,789.08594,1.0
73,682.81836,790.04816,1.0
74,682.7464,790.87103,1.0
75,682.9215,791.26636,0.9896574
76,683.4155,791.4299,0.9813597
77,683.71716,791.9676,0.946114
78,684.0788,792.8876,0.91648096
79,684.474,793.51685,0.92972857
80,684.84485,794.2169,0.9393091
81,684.9663,795.36926,0.95869166
82,685.51666,796.46564,0.962006
83,685.97345,797.18915,0.9489588
84,687.04236,798.10376,0.93608594
85,687.54694,799.2381,0.943826
86,688.4281,799.97284,0.95414835
87,688.981,800.87396,1.0
