scorer,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010
bodyparts,center of carapace,center of carapace,center of carapace
coords,x,y,likelihood
0,1135.5327,713.3594,0.6407271
1,1131.9667,703.7316,0.71764785
2,1133.4537,695.5796,0.849128
3,1131.2631,688.49786,0.8666052
4,1127.5292,683.5554,0.9008518
5,1122.3652,675.1404,0.8379114
6,1119.2402,667.06213,0.86207795
7,1119.2723,663.4165,0.7980575
8,1123.0492,659.3508,0.74883467
9,1126.0316,654.1357,0.73635745
10,1123.1637,654.26117,0.7849285
11,1123.0878,654.8571,0.8753827
12,1128.5922,649.8827,0.9872466
13,1131.4266,650.404,1.0
14,1135.8999,650.3393,0.9180056
15,1140.5237,649.13806,0.89360577
16,1143.8372,649.39465,0.88414884
17,1146.2928,651.3987,1.0
18,1150.0287,651.2152,1.0
19,1152.9979,651.23517,0.9083082
20,1158.4674,649.53156,0.9291601
21,1161.3657,650.6578,1.0
22,1166.1381,650.67206,1.0
23,1170.1228,647.951,0.88106257
24,1174.3955,644.42395,0.8755802
25,1176.2744,643.12665,0.9539624
26,1178.5592,636.5404,0.9727139
27,1181.5033,632.6979,0.94039404
28,1183.7487,630.90924,0.8828768
29,1185.5325,628.30774,0.9298419
30,1185.8435,626.07855,0.88491696
31,1185.9221,624.94476,0.8954838
32,1186.5729,622.85803,0.9356612
33,1189.2568,621.17365,0.9664675
34,1193.1381,617.74634,0.9167911
35,1195.263,615.5702,0.93172586
36,1200.0787,609.87946,0.83854204
37,1204.2262,605.42645,0.97533983
38,1207.6051,599.48785,0.86900836
39,1209.9321,592.6348,1.0
40,1213.7235,587.1944,1.0
41,1216.5408,580.1776,0.865916
42,1220.3018,574.645,0.93203634
43,1223.0085,566.2776,0.86544335
44,1224.8662,560.80133,0.8859649
45,1226.7236,551.97174,0.9070046
46,1227.9995,543.3496,0.96614254
47,1231.5414,535.2125,0.86993533
48,1234.0417,525.3754,0.9016479
49,1237.6566,515.5428,0.8494298
50,1239.727,505.7992,0.8922261
51,1240.4744,498.0627,0.9058246
52,1240.5703,484.57837,0.96439433
53,1238.9957,473.78128,0.9530786
54,1241.8259,464.98947,0.8726719
55,1242.4639,453.8728,0.94513905
56,1243.195,443.68954,0.9790047
57,1241.7003,436.8793,0.90781426
58,1241.5496,427.50812,0.9503125
59,1238.776,419.6499,0.905321
60,1237.1387,408.758,0.97964835
61,1234.7039,400.0584,0.9854851
62,1230.4989,391.4334,0.92075473
63,1229.4486,383.34018,0.8848183
64,1225.966,374.69977,0.929859
65,1223.1864,367.68045,0.8720529
66,1219.9948,362.93475,1.0
67,1213.5446,357.12067,0.84904146
68,1208.4587,349.20602,0.94250023
69,1204.0465,341.5033,0.9885509
70,1201.4788,333.7882,0.9513024
71,1195.9973,325.6336,0.9756414
72,1191.7067,316.1835,0.93577236
73,1186.8561,308.94144,0.9816213
74,1182.9622,301.23264,0.86542386
75,1178.1104,293.40723,0.93822783
76,1171.5631,285.6036,0.9559636
77,1164.118,278.93738,0.93832695
78,1159.4791,270.29984,0.92103934
79,1154.6669,264.1373,0.96236813
80,1148.3882,258.1208,0.9244708
81,1144.2587,251.66087,0.90288085
82,1141.1115,247.99127,0.9201409
