scorer,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010
bodyparts,center of carapace,center of carapace,center of carapace
coords,x,y,likelihood
0,982.94507,798.1772,0.86837673
1,982.712,793.44727,0.94797325
2,982.9072,787.4504,0.8521057
3,985.76855,778.28876,0.9695105
4,986.6118,773.04236,0.9976496
5,988.2168,765.79565,0.8657974
6,991.3218,759.94476,0.8049021
7,994.8931,754.2392,0.90687597
8,999.3863,748.70233,0.91113627
9,1002.93536,742.07385,0.93673956
10,1005.0757,738.7988,0.8978192
11,1010.9703,733.9844,0.9062212
12,1016.37115,729.3492,0.90060306
13,1020.1184,724.8087,0.908608
14,1026.1254,721.79584,0.87207323
15,1031.076,719.01935,0.90091264
16,1034.5447,714.1994,0.93381155
17,1037.6957,710.5757,0.84656024
18,1040.5538,707.4726,0.89726204
19,1043.8511,704.4247,0.8859879
20,1047.3793,699.7243,0.87704474
21,1049.5262,695.7424,0.89923245
22,1051.0377,692.42773,0.9194819
23,1051.9692,690.3942,0.82364357
24,1052.9143,688.6242,0.78454447
25,1054.0465,686.91614,0.8306229
26,1056.174,686.40686,0.79203373
27,1056.5431,685.9304,0.8305144
28,1055.9679,685.8826,0.79884624
29,1056.1343,686.41754,0.7909124
30,1055.8499,686.5651,0.7583775
31,1056.038,685.08997,0.7654691
32,1054.0193,682.65283,0.76228267
33,1052.7557,679.78796,0.7548312
34,1051.7794,678.5565,0.7816236
35,1051.5463,676.8881,0.8152577
36,1050.7562,674.9516,0.9197395
37,1049.8197,675.1082,0.96277064
38,1049.3578,674.85693,0.87012535
39,1047.9087,674.8882,0.70837855
40,1047.5952,673.0591,0.7889353
41,1046.8184,670.9592,0.8668494
42,1046.1289,669.3938,0.90740705
43,1047.1028,668.0028,0.8660146
44,1048.1018,666.6588,0.8154248
45,1047.4175,666.0011,0.8628559
46,1047.1661,665.47656,0.9015751
47,1046.6493,665.1448,0.88303983
48,1047.495,664.5966,0.8653015
49,1046.9751,664.46967,0.85049385
50,1046.381,663.0548,0.89144534
51,1045.8151,662.08563,0.9382826
52,1045.9531,661.2849,0.98113024
53,1045.9916,661.2813,0.9867099
54,1045.9098,661.67346,0.9532034
55,1046.6842,661.344,0.9252185
56,1047.8788,659.869,0.97938365
57,1048.5092,658.3756,1.0
58,1049.1599,657.3467,1.0
59,1048.9752,655.32886,1.0
60,1050.6117,654.15686,1.0
61,1051.8,651.79205,1.0
62,1052.5278,649.77057,1.0
63,1052.4559,648.2588,1.0
64,1053.8936,645.88043,1.0
65,1056.2094,643.7311,0.97174925
66,1058.0298,641.721,1.0
67,1059.5894,641.2749,0.99550104
68,1060.3534,641.28436,0.9817465
69,1060.5652,640.6528,0.9699951
70,1061.5565,640.0511,0.9523212
71,1061.6528,639.18835,0.97054416
72,1061.608,639.12714,0.9640818
73,1061.7788,637.9766,0.98199826
74,1061.9988,637.0169,1.0
75,1062.0332,636.3791,1.0
76,1061.2535,635.75684,1.0
77,1061.1896,634.9943,0.9869808
78,1061.7322,634.20953,0.988429
79,1061.4362,633.95166,0.9908308
80,1061.1798,633.8289,0.9917213
81,1061.1792,633.24866,0.9897043
82,1061.4813,632.8073,0.96925426
83,1061.7714,632.5577,0.9712159
