"","date","oc_ID","movement_type","total_movement_dis","duration","speed","speed_per_bodylength","angle_dev","avg_bear_head_dif","avg_bear_head_dif_dif","avg_head_vs_crab"
"1","8_9",1,1,187.081318988922,0.916666666666667,204.088711624279,1.34388866655481,-0.226840202814536,0.531788092837086,-0.361345689466109,0.262996483066652
"2","8_9",2,1,125.969973732787,0.916666666666667,137.421789526676,0.940868464143473,-0.0135466867418044,1.40504431182988,-0.04042090661356,-0.283162094962344
"3","8_9",4,2,15.6919617094836,1.65,9.51027982392945,0.0987789558606027,0.00562083550808579,0.0114639107462102,0.38376169696174,0.345921367581629
"4","8_9",5,1,14.9297303011922,4.4,3.39312052299823,0.0219555645187789,0.111362417927221,2.12043993120685,0.215942089228997,0.105738842008088
"5","8_9",7,2,213.933255765647,0.733333333333333,291.727166953156,2.3669134124894,-0.0606482546883624,1.19111073466536,-0.15057317885534,0.0968944658227879
"6","8_9",8,2,26.6659613617933,1.65,16.1611887041171,0.179120861713207,-0.0423478317223041,0.949818122455409,0.480461866845556,0.260042220450049
"7","8_9",9,1,19.0480593933262,1.65,11.5442784201977,0.0793763251944151,-0.288176938425299,0.592153142685643,-0.192540999365075,0.129742840624788
"8","8_9",10,1,2.59838302806881,2.38333333333333,1.09023064114775,0.00796922804492781,-2.7501995158638,1.62305467806037,-0.265816610294578,0.385350095334063
"9","8_9",11,1,24.2842701896004,1.65,14.7177395088487,0.0994098961733046,0.308546753777807,-1.41709034625995,0.103314713700508,0.00441803485688579
"10","8_9",12,1,62.8768921187027,2.75,22.864324406801,0.244460838138953,-0.382383487787942,0.133649738239295,-0.00646996890574019,-0.107179075963624
"11","8_9",12,2,7.3031710447012,0.733333333333333,9.95886960641073,0.106478265772662,0.0929697372515204,0.655487291201978,0.916336353949691,0.474528024529754
"12","8_9",13,2,15.178105457495,1.46666666666667,10.3487082664739,0.111254660555396,0.693711545909411,0.154760267968029,-0.0226670356964998,1.19320405617383
"13","8_9",14,1,20.7253182754238,1.65,12.5607989548023,0.0918197797255109,-0.0439286387464519,2.31518928780326,-0.099212116271595,-0.256520293004027
"14","8_9",16,2,12.8960834612202,0.916666666666667,14.0684546849675,0.122341622678276,-0.322639811178096,-1.2058467363708,0.141174128353313,-0.65503113109328
"15","8_9",17,1,86.3480039943468,0.916666666666667,94.1978225392874,0.996752780965258,-0.0973120998274132,1.67181128079139,-0.0184173650317125,-0.176711997172063
"16","8_9",17,2,45.1457963737139,0.366666666666667,123.124899201038,1.30284418871271,-0.0895974758615945,1.30339537002873,-0.54266638187834,-0.232045006371917
"17","8_9",18,1,11.4820664554247,4.58333333333333,2.50517813572902,0.0342765177497188,-0.225402024867859,-0.486194754338171,0.117279061783525,-0.226438914860742
"18","8_9",19,1,26.8995063524576,4.58333333333333,5.86898320417257,0.0628952944580136,0.151902320531769,1.6697583852816,0.0437675109078675,-0.121267391112499
