"","Date","OC_ID","Trial_Type","Duration","Avg_Speed_Per_Bodylength","Avg_Bearing_Change","Avg_Bearing_vs_Heading_FV","NewDates"
"1","7_24","1",1,1.7,0.799593514290783,0.00276819380754924,1.52272324170336,0
"2","7_24","10",4,6.583333333,0.612176872307816,-0.00461993928544464,1.23109967421246,0
"3","7_24","11",4,3.1,1.37058226428841,-0.0105950719426867,1.25372467260618,0
"4","7_24","13",4,9.366666667,0.75868373045231,0.00553802532992555,1.58159004069699,0
"5","7_24","14",4,2.35,1.02956760791456,-0.00174193573330942,1.13377287775647,0
"6","7_24","16",4,8.433333333,0.517941041436622,-0.0145200859293499,1.01807061142219,0
"7","7_24","17",4,3.65,1.05115301926473,0.00377770143764078,0.752869359112822,0
"8","7_24","2",4,12.98333333,1.02635208127033,0.00463999321971675,1.50605103108864,0
"9","7_24","4",1,12.31666667,0.463526479913388,0.0377815942285587,-0.271953549512629,0
"10","7_24","5",1,10.93333333,0.855683758027832,0.0295439568347645,0.255229948380763,0
"11","7_24","8",4,11.51666667,0.631845598402756,-0.00972062996114148,1.63384953088342,0
"12","7_24","9",4,8.966666667,1.22307736502952,0.00318600183278423,0.563738492032992,0
"13","7_26","1",4,2.866666667,1.36231887124635,0.0231346452878375,-0.462023653853354,2
"14","7_26","10",1,6.733333333,0.273447675304935,-0.017546170503364,0.969528246782985,2
"15","7_26","11",1,1.7,1.37096977280769,0.0635783621915325,-1.26221871152136,2
"16","7_26","13",1,24.18333333,0.662558852828994,0.0182913546072454,-0.63208604045903,2
"17","7_26","14",1,14.23333333,0.544124269988059,-0.00014211178698272,-0.525206868270305,2
"18","7_26","19",1,2.116666667,0.702017330951224,-0.0400181807519573,0.692386184240139,2
"19","7_26","2",4,4.033333333,1.40468027088292,-0.0322894035908632,1.48182145204132,2
"20","7_26","4",4,5.7,0.793910221782799,0.115486422858042,1.64838410831446,2
"21","7_26","5",4,9.1,0.656642792930908,0.00436311579330255,-0.249862878688174,2
"22","7_26","7",4,1.966666667,2.19945959168863,-0.024191214996311,1.04306960014614,2
"23","7_26","8",1,3.35,0.322044810785697,-0.0147200690852201,0.42081476557056,2
"24","7_26","9",1,19.96666667,0.887934985492882,0.0179017038172423,0.573762614463528,2
"25","7_28","1",1,2.533333333,0.456231860365173,-0.00078200104048174,-0.749158172476543,4
"26","7_28","10",1,4.716666667,0.674667953186538,-0.138721671152802,0.088344290482472,4
"27","7_28","11",1,7.216666667,0.968679636404753,-0.00976346476088556,0.498464226021706,4
"28","7_28","14",1,5.15,0.947182942940697,0.00585460090776692,-0.0733029845839094,4
"29","7_28","16",1,3.85,1.01729526114776,-0.0229054604054551,0.585540131571029,4
"30","7_28","17",1,1.166666667,1.20073871882475,-0.0323302395395432,0.0776718858239143,4
"31","7_28","18",1,19.58333333,0.0782656241763608,0.00557325977476023,1.42110394117389,4
"32","7_28","19",1,1.866666667,0.755476994600694,-0.0149091791460426,1.09351816027599,4
"33","7_28","2",1,3.166666667,1.34315371168455,-0.272796284729104,0.884988612277265,4
"34","7_28","5",1,19.95,0.750673715942205,0.00276364143408798,1.47013560307357,4
"35","7_28","7",1,4.783333333,0.573860202385609,0.0219287569080138,-0.65157867796881,4
"36","7_28","8",1,4.316666667,0.651280843676078,0.192963182542985,0.723350974275006,4
"37","7_28","9",1,1.15,0.771495248243004,0.0366877259621708,1.28285449890052,4
"38","7_30","1",4,1.616666667,1.79830135961971,0.0145177835295314,0.335196790014028,6
"39","7_30","10",4,1.85,1.79719757003026,-0.0530297075044204,1.51074746185867,6
"40","7_30","11",4,0.733333333,1.61260578567669,-0.0294590436758561,1.3001678309718,6
"41","7_30","13",4,4.95,1.38551956273565,-0.0392033789290988,2.08028659497875,6
"42","7_30","14",4,7.716666667,0.514220495597637,-0.0165913270265039,2.01722534737064,6
"43","7_30","17",4,1.516666667,1.62513813409152,-0.314649573015891,0.0389135599985871,6
"44","7_30","18",4,22.71666667,0.21169399070428,-0.00678303436819229,2.06175968160691,6
"45","7_30","19",4,3.65,1.05633266590743,-0.0240187646125799,1.52643487606001,6
"46","7_30","2",4,1.266666667,2.88484005235086,0.0513513813333686,0.606877410759414,6
"47","7_30","4",4,7.45,0.827604883789548,-0.116408305191086,1.16970715509543,6
"48","7_30","5",4,9.816666667,0.784785661489564,0.000888301880651169,0.335205087351299,6
"49","7_30","7",4,13.91666667,0.725962724632584,0.429617545755184,0.544432797032362,6
"50","7_30","8",4,23.7,0.365038907454021,0.0398902417252203,-1.57021744982314,6
"51","7_30","9",4,1.783333333,1.38418559514124,0.0243477446194167,1.13277487314564,6
"52","8_1","1",1,2.183333333,1.33216521694798,0.0452098315946762,0.875314167404131,8
"53","8_1","10",1,7.6,0.638412041037779,-0.0148606862997946,1.82552422548414,8
"54","8_1","11",1,1.75,1.23449972876192,0.263057396928699,1.64471738746468,8
"55","8_1","14",4,6.816666667,1.02698353146813,-0.00351380164711976,-0.0284030431742669,8
"56","8_1","16",4,6.933333333,0.8365709697694,0.00663529051604868,1.09198016385437,8
"57","8_1","17",4,8.483333333,0.543348677285138,0.0306425086619298,-0.0859135373842715,8
"58","8_1","18",4,13.2,0.191703260044643,-0.0190044474607838,-0.0286485132067994,8
"59","8_1","19",4,4.1,0.554754771092328,-0.0367563777633024,-0.118404756901298,8
"60","8_1","2",1,7.35,0.772626344821703,0.0202470915366648,0.0432622359266026,8
"61","8_1","4",1,12.9,0.294498745700087,0.0289216102384007,0.515760059779203,8
"62","8_1","5",1,1.65,1.08649164609107,0.0272301795644338,1.00969769185974,8
"63","8_1","7",1,1.6,1.40438640022614,0.0102917743556624,-0.975958364161086,8
"64","8_1","8",1,3.35,0.972015258910127,-0.0288508342719952,0.503612176100893,8
"65","8_1","9",1,23.63333333,0.320501807538533,0.00349681487379298,1.39953430795734,8
"66","8_3","1",4,11.21666667,0.835120145988072,-0.00933809464627162,0.328621082706313,10
"67","8_3","10",4,1.533333333,1.36250354334204,-0.300554745312163,0.505017030247596,10
"68","8_3","11",4,2.683333333,0.946544152846309,-0.00377586133263641,0.932352718174814,10
"69","8_3","14",4,1.766666667,1.33396564892521,-0.0171837683998911,0.548956122509151,10
"70","8_3","16",4,2.716666667,1.43036369325073,0.00806434381642215,0.377945816814523,10
"71","8_3","17",4,7.483333333,0.690692245262421,-0.0245980735803713,1.87280142121341,10
"72","8_3","19",4,1.55,1.71454741740919,0.0109923851025659,1.41004320982862,10
"73","8_3","2",4,2.233333333,1.58039690287125,0.00192823767918194,0.843226175254653,10
"74","8_3","4",4,6.45,1.01300725019745,0.00549005529868609,1.23045740830989,10
"75","8_3","5",4,3.7,1.02151953349847,-0.0154859897964321,0.997828508667589,10
"76","8_3","8",4,10.78333333,0.680645449257987,0.0765477517898301,0.0142737157606032,10
"77","8_3","9",4,14.11666667,0.0599341300898378,0.000270127214491965,1.67584938364141,10
"78","8_5","1",4,14.26666667,1.02780743854266,-0.000997837151515444,-0.197748542913091,12
"79","8_5","10",4,1.35,1.90622805959207,-0.323931266372497,0.65058465676474,12
"80","8_5","11",4,1.683333333,1.46854259665544,-0.0179537999709827,-0.0461526490534403,12
"81","8_5","13",4,6.65,1.08147123158929,-0.00195503114887016,0.0367791846672671,12
"82","8_5","14",4,1.866666667,2.31457966907693,-0.0390754988371698,0.810429017057645,12
"83","8_5","16",4,4.05,0.916241583930799,-0.134867964558041,0.578704201762014,12
"84","8_5","17",4,11.28333333,0.623401388908249,0.0152393150498783,-0.060254717551607,12
"85","8_5","19",4,1.9,1.15831562797189,-0.00726297125136282,1.76810184655504,12
"86","8_5","2",4,1.916666667,1.96008079569359,0.33118069736796,1.94259285967116,12
"87","8_5","4",4,4.95,0.920272473310354,-0.0170068747360464,1.27779825090633,12
"88","8_5","5",4,2.733333333,1.40317877242921,-0.0280829916867685,1.02586668598226,12
"89","8_5","7",4,29.4,0.115348475580847,-0.00188958065038749,1.86679617140141,12
"90","8_5","9",4,2.183333333,1.70232945134234,0.0332434254726105,-0.212259504184372,12
"91","8_7","1",4,3.766666667,0.982288938652307,0.0144609153900042,1.42042834497424,14
"92","8_7","10",4,4.15,1.01148179568808,0.135591888205049,0.579185671818076,14
"93","8_7","11",4,1.666666667,1.4630588214305,0.0361609689004855,0.695505077758224,14
"94","8_7","12",4,7.383333333,0.67679368121423,0.0387730168284989,0.408506762542729,14
"95","8_7","14",4,1.633333333,1.68598057645638,-0.0361047799143966,1.82958985982396,14
"96","8_7","16",4,2.116666667,2.29327839597639,0.345474961383116,-0.56411518054334,14
"97","8_7","17",4,1.583333333,1.49384420674696,-0.282467752062669,0.0914859428791823,14
"98","8_7","19",4,3.566666667,1.22963608583899,0.0222314170423208,-0.403754470212544,14
"99","8_7","2",4,2.183333333,1.40512512257081,0.00925326336554471,1.01191044207653,14
"100","8_7","4",4,8.05,0.735911036012943,-0.00506740298084135,0.456936046286541,14
"101","8_7","5",4,13.85,0.434919350240559,-0.00385535199587165,0.62836539035189,14
"102","8_7","8",4,17.23333333,0.171189919130086,0.00268981593977988,0.0694220483667094,14
"103","8_7","9",4,6.6,0.805578413177861,-0.0180426915278798,1.39752980854132,14
"104","8_9","1",4,10.71666667,0.627090974779432,0.0885960687659382,1.48214781757717,16
"105","8_9","10",4,3.15,1.32266168614632,-0.0397768442481485,1.09535905413934,16
"106","8_9","11",4,5.566666667,0.917627864884316,0.0191785642786042,-0.197342430787153,16
"107","8_9","12",4,9.316666667,0.680874600088404,-0.000801530172438251,1.85478264534485,16
"108","8_9","13",4,8.15,1.27694391138022,0.205303091512613,1.04682195305721,16
"109","8_9","14",4,2.15,1.36535395578402,-0.0261696916351627,1.62246143197105,16
"110","8_9","16",4,25.58333333,0.247345261049312,0.00951606139636931,-1.05857435973343,16
"111","8_9","17",4,3.55,1.14213793497416,-0.0370851929926973,1.33154913779163,16
"112","8_9","18",4,9.05,0.284962647723447,-0.000466591193392593,-1.0027768321886,16
"113","8_9","19",4,4.966666667,0.956662764716906,-0.0329465654098166,1.30046084421067,16
"114","8_9","2",4,1.2,1.63103077226774,-0.0225096674738555,1.79110417415732,16
"115","8_9","4",4,2.683333333,1.30088370723826,0.0385186423365838,1.28686293546583,16
"116","8_9","5",4,4.916666667,1.06947762273427,-0.016996820380337,1.25409766996832,16
"117","8_9","7",4,1.55,1.9827034657008,-0.0486743991552728,-0.859117645734317,16
"118","8_9","8",4,8.7,0.767430825734638,0.103619270567149,0.118080512152784,16
"119","8_9","9",4,1.633333333,1.76369619283859,-0.327572793173301,0.673314561389206,16
"120","8_11","1",4,2.233333333,1.26789899762287,0.0320064626296607,1.41145711704373,18
"121","8_11","10",4,1.833333333,1.46478638439917,0.0210737378900657,1.4130564543801,18
"122","8_11","11",4,1.083333333,1.66131875449394,-0.0258960551936726,-0.0512826495939519,18
"123","8_11","13",4,7.983333333,0.52371802972034,-0.00596737388664734,1.55658134913748,18
"124","8_11","14",4,4.566666667,1.24219024056304,0.0279500448038686,0.078876819166917,18
"125","8_11","16",4,2.183333333,1.54298772909037,-0.0331927021576941,1.68332481551048,18
"126","8_11","17",4,2.583333333,1.90035137325751,-0.0442651797895476,1.32430310936932,18
"127","8_11","18",4,7.883333333,0.685806335770389,0.0227000839804374,-0.67697053859494,18
"128","8_11","19",4,4.966666667,0.958384341255224,0.0202835575106063,-0.0217713191308183,18
"129","8_11","2",4,1.233333333,1.99261645801609,-0.0286516806136142,1.51374869355396,18
"130","8_11","4",4,2.033333333,1.63645562764279,0.0368740794029824,0.150954996805234,18
"131","8_11","5",4,1.883333333,1.45133651665342,0.015691919679086,-0.378888527281949,18
"132","8_11","7",4,4.5,1.15208695114166,0.0281326010170852,-0.946754575222048,18
"133","8_11","8",4,2.5,1.33083483746189,0.0333738419847331,-1.46307735864498,18
"134","8_11","9",4,1.533333333,1.54737665968439,0.0109109968275399,0.841444770050245,18
"135","8_13","1",4,1.7,1.41984468563416,-0.229262593200664,0.356634902445069,20
"136","8_13","14",4,1.566666667,1.8213122021666,0.0261679866149927,0.85573926341538,20
"137","8_13","16",4,1.333333333,1.62128607858323,-0.0279828088212424,1.36455325206583,20
"138","8_13","17",4,2.783333333,1.34411840519648,-0.00735908387695957,1.90054493418323,20
"139","8_13","19",4,1.15,2.05489139652039,0.0356226312020153,-0.943417972536882,20
"140","8_13","2",4,1.166666667,1.82529701663583,0.332809851313761,0.817280214562168,20
"141","8_13","4",4,2.633333333,1.864379128999,-0.02231791328213,1.9459994484664,20
"142","8_13","5",4,1.783333333,1.62509616227926,0.29238692114295,1.42351081849495,20
"143","8_13","7",4,8.583333333,0.650140197523108,0.274838230408794,1.0533318842027,20
"144","8_13","8",4,5.216666667,0.593141690433516,0.157168807541534,1.50329286486087,20
"145","8_13","9",4,1.816666667,1.46261796516613,0.0429886571401848,0.830509071174434,20
"146","8_15","1",4,13.5,0.622334394737465,-0.00674202772013617,1.40883720854886,22
"147","8_15","11",4,6.233333333,0.937369512752504,-0.00325261498693902,-0.349666034841886,22
"148","8_15","13",4,6.383333333,1.24972288027056,-0.124819471409503,0.705623166092643,22
"149","8_15","14",4,2.483333333,1.63665977683784,0.253157430046509,1.10513864978722,22
"150","8_15","16",4,1.833333333,1.8798876216786,-0.00414471645236107,1.38018636942198,22
"151","8_15","17",4,2.083333333,2.29840931056045,0.0473265790763497,1.99854432770881,22
"152","8_15","18",4,11.68333333,0.171587117104447,-0.00580324898958732,0.0361052120064303,22
"153","8_15","19",4,3.05,1.05943080570609,-0.000649900865736961,1.29450588844992,22
"154","8_15","2",4,5.35,0.763870605435027,-0.0150333711372231,0.813406173627589,22
"155","8_15","4",4,4.333333333,1.32797446735108,-0.0535754610757599,2.01632764709456,22
"156","8_15","5",4,2.433333333,1.34550962046626,-0.0176362155642606,1.43941637947596,22
"157","8_15","7",4,22.65,1.32520322888194,-0.114658209532746,0.440801717157703,22
"158","8_15","8",4,4.3,0.759787062885842,-0.00539728129173278,0.188018661939372,22
"159","8_15","9",4,2.433333333,1.53897714566124,0.0216587844646433,1.32448001042823,22
"160","8_17","1",4,10.88333333,0.387523052521395,-0.00527428761519571,1.45161084409035,24
"161","8_17","10",4,2.433333333,0.91350607765519,0.00306469228151193,0.769646813841211,24
"162","8_17","11",4,2.6,1.73429531486816,-0.310448187793321,1.77110927650428,24
"163","8_17","13",4,5.283333333,0.973679864224763,-0.132678705946701,0.62124921573693,24
"164","8_17","14",4,1,1.80205449839595,-0.051205522296347,0.266635782136129,24
"165","8_17","16",4,9.033333333,0.557059977211326,0.020694895191178,-0.0833766511252034,24
"166","8_17","17",4,7.233333333,0.641281879202965,0.000322639739529202,0.331374642967701,24
"167","8_17","18",4,4.316666667,0.838217029820738,-0.0208490877452207,1.29031149412639,24
"168","8_17","19",4,0.983333333,2.28540189940921,0.0626049816163769,-1.18634365556382,24
"169","8_17","2",4,2.383333333,2.15420973478388,0.0139195789215552,1.97856683671596,24
"170","8_17","4",4,3.583333333,1.11581344006167,-0.0275023709729621,0.446488253026514,24
"171","8_17","5",4,2.133333333,2.06176100978206,-0.0257371917059124,1.73682559548512,24
"172","8_17","8",4,2.016666667,2.49260610968888,-0.0200861015974822,1.91762289958026,24
