"","Date","OC_ID","Trial_Type","Movement_Type","Distance_of_Movement","Duration","Speed","Speed_per_Bodylength","Bearing_Change","Avg_Bearing_vs_Heading","Avg_Bearing_vs_Heading_Change","Avg_Directness_Difference","NewDates"
"1","7_24",1,1,1,63.1553144774397,1.65,38.2759481681453,0.252040460912442,1.20998554883618,2.4692868072481,-0.0748442594607475,0.845607455191034,0
"2","7_24",2,4,1,31.8199586696023,1.65,19.2848234361226,0.132034972547789,0.0166213023614326,1.93039793979041,-0.051256419097155,0.0407746174200402,0
"3","7_24",4,1,2,13.0408084042514,2.2,5.92764018375062,0.0615677055679219,-0.173293777462866,-0.40639847243268,-0.0989055292593687,-0.228067961797589,0
"4","7_24",5,1,2,165.041562102202,4.21666666666667,39.1402914076367,0.253261617870514,-0.479597061956791,-0.223714797947612,-0.107078526902786,0.136248149246831,0
"5","7_24",8,4,2,24.6077299375061,2.38333333333333,10.3249216521004,0.114435200114607,-0.0548527989236364,1.28097627330775,0.084980270278295,-0.337627549511612,0
"6","7_24",9,4,2,169.369030162427,0.916666666666667,184.766214722648,1.27041835019385,-0.224572099193621,0.821105550334365,-0.351148720206936,0.0783947233082079,0
"7","7_24",10,4,2,116.702932232384,4.58333333333333,25.4624579416111,0.186122207781153,-0.470012990247104,0.945939380837774,-0.0214263142742828,0.0780618421068512,0
"8","7_24",11,4,2,118.463601609689,1.28333333333333,92.3092999556015,0.623496422049026,0.167627874091601,1.17062054795709,-0.119369668229062,0.248774067065347,0
"9","7_24",13,4,2,224.47861711327,0.733333333333333,306.107205154459,3.29083131209225,-0.335109380198792,-0.393030377993018,0.124648324184895,-0.146732115479815,0
"10","7_24",14,4,1,74.5924869964099,2.2,33.905675907459,0.247851406942326,-0.193732507545181,-0.310557650931745,0.101276669430909,-0.579254724777858,0
"11","7_24",16,4,2,63.7700218630178,1.46666666666667,43.4795603611485,0.378105491117288,0.0881796039244851,1.15753586640835,-0.0314614731294257,-0.0417873434110019,0
"12","7_24",17,4,2,5.68697116166884,2.2,2.58498689166765,0.0273529982283173,0.188782140933493,0.194365011468967,0.0368152575216772,0.178396626117316,0
"13","7_26",1,4,2,23.451424069319,2.01666666666667,11.6288053236292,0.0765736603245743,0.197428495690704,-1.2718508474577,-0.011958323416209,-0.0336147447852802,2
"14","7_26",2,4,1,10.2545756700455,2.93333333333333,3.49587806933371,0.0239347882257665,0.100058774102816,1.74473227819393,0.09722722738644,0.125803058480998,2
"15","7_26",4,4,2,33.1290745496585,1.46666666666667,22.5880053747671,0.23461134973958,0.095190884319901,1.82358456996928,-0.0518524743816157,0.15783070820999,2
"16","7_26",4,4,2,10.5756053290592,0.916666666666667,11.5370239953373,0.119829826787081,0.249084255477096,2.31271994692613,0.268057189648925,0.28512701123579,2
"17","7_26",5,4,2,20.6069398892064,0.916666666666667,22.4802980609524,0.145461274108381,1.73505989457033,0.105265302243746,-0.741140246870407,1.68016681141353,2
"18","7_26",7,4,2,25.8142766377826,2.01666666666667,12.8004677542723,0.103855938856015,-0.10233480942483,0.898863045933771,-0.205172662138959,0.401773181171402,2
"19","7_26",8,1,1,3.23322989550195,1.83333333333333,1.76357994300106,0.0195464557016157,0.668164758118127,1.38028838684968,0.151972345504604,-0.243574042284243,2
"20","7_26",9,1,2,9.83691618001457,0.733333333333333,13.4139766091108,0.0922320244470351,0.0714105572468797,-0.666026520578534,-0.425621793894821,0.107590601697758,2
"21","7_26",10,1,1,18.1191658691804,1.65,10.9813126479881,0.0802697900990359,-0.549874545553196,0.138337671675779,-0.224975737066906,0.176484493614918,2
"22","7_26",11,1,1,7.06165084656715,1.46666666666667,4.81476194084124,0.032520957742895,1.14354095544989,-1.66201571314197,0.266153599967463,-0.712144819705456,2
"23","7_26",13,1,1,6.83382407732571,1.65,4.14171156201558,0.0445258192699448,-0.0853583013057158,1.46800944979539,-0.299579518473911,-0.112144039984665,2
"24","7_26",14,1,1,5.454635964834,2.56666666666667,2.12518284344182,0.0155351440034519,-0.10986455575406,2.40071971656444,-0.0908544059365062,0.00862890505957127,2
"25","7_26",19,1,1,6.98431632253115,1.83333333333333,3.80962708501699,0.0408260867260649,0.789838577528516,1.61483878946113,-0.511522986245902,-0.0934078276827461,2
"26","7_28",1,1,1,3.33679469225865,1.83333333333333,1.82006983214108,0.0119848432590219,-0.0170201757674273,-0.849897721301457,-0.0669862141761708,0.217237638579671,4
"27","7_28",2,1,1,56.0765533275946,2.2,25.4893424216339,0.17451467150058,0.0890686487684769,0.849719738901955,0.00268995117019544,-0.0026834435977637,4
"28","7_28",5,1,1,7.03458087459842,3.85,1.82716386353206,0.0118228674225552,0.147302658169423,1.63364156965893,-0.006160208945672,0.201517243355778,4
"29","7_28",7,1,1,11.2167930642686,1.1,10.1970846038805,0.0827335231383835,-0.148928535726538,-1.51701161118897,0.160689048262798,0.0358584957681104,4
"30","7_28",8,1,1,9.93162012629676,2.2,4.51437278468034,0.0500345833521882,0.333730764790924,1.21073349048112,0.198690757212736,-0.309172386128158,4
"31","7_28",9,1,1,9.5549718054611,1.65,5.79089200330976,0.0398171033380691,0.660647999997979,1.76825909585162,0.135921446366437,0.0359499653070875,4
"32","7_28",10,1,1,3.14596020576447,2.93333333333333,1.07248643378334,0.00783952371482881,0.0689327568287763,0.291250807626194,-0.0305495751758562,0.324540929596881,4
"33","7_28",11,1,1,15.3234422290036,3.3,4.6434673421223,0.0313639608913432,-0.0323894364310497,1.76949255669932,-0.289614321010163,-0.134171549336497,4
