scorer,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010
bodyparts,center of carapace,center of carapace,center of carapace
coords,x,y,likelihood
0,952.2964,912.72906,0.74511266
1,951.4334,913.704,0.7467661
2,951.6078,912.1758,0.79424816
3,951.827,911.7585,0.73245525
4,950.96216,907.42944,0.8733139
5,955.07544,904.95526,0.6268483
6,951.83374,900.6177,0.76715636
7,954.772,898.84845,0.7478018
8,952.18994,900.26483,0.75535214
9,950.2607,897.0172,0.77667177
10,949.19916,895.98505,0.81337065
11,949.2472,894.2834,0.86491996
12,948.97186,893.6926,0.7886873
13,947.17,894.01807,0.96192074
14,945.3216,891.10657,0.8628162
15,942.4325,890.6238,0.80289894
16,941.838,889.17194,0.81421834
17,940.86926,889.4834,0.7632068
18,940.07184,887.0839,0.6875369
19,941.64105,885.8436,0.76484233
20,939.48285,881.48755,0.70083094
21,943.514,883.93066,0.8079089
22,943.8108,884.50977,0.8843266
23,945.9464,884.78345,0.98746634
24,945.9796,885.0492,1.0
25,945.90204,884.42523,1.0
26,945.4087,883.4139,1.0
27,945.4141,882.1443,0.9815246
28,945.0008,881.74426,0.9342643
29,945.1524,879.6061,0.95106626
30,943.9729,877.8231,0.9238487
31,944.2276,876.3845,0.9329707
32,945.02716,875.84204,0.93655944
33,944.93207,875.17816,0.9516416
34,945.3779,874.8856,0.95616823
35,944.97614,874.35077,0.92580956
36,945.8327,874.45886,0.9679718
37,945.4433,874.2125,0.9627898
38,946.101,874.0537,0.95244837
39,946.5099,873.91675,0.9637743
40,946.4774,874.003,0.9698193
41,946.11487,874.28125,0.9658814
42,946.1998,873.98303,0.9604534
43,946.4075,874.08124,0.9600052
44,946.3817,874.4053,0.96695375
45,946.46893,874.39886,0.96809626
46,946.6296,874.5947,0.9662716
47,946.22015,874.5634,0.96943265
48,945.6416,874.23505,0.9546066
49,945.6825,874.3141,0.96507186
50,945.6463,874.007,0.9504246
51,945.71106,874.0718,0.9530554
52,945.86035,873.8177,0.9514481
53,945.9411,873.85956,0.94890994
54,946.1369,874.0751,0.9551122
55,946.26294,874.2861,0.95502776
56,946.59875,874.2447,0.9561661
57,946.7814,874.3274,0.95276856
58,946.7745,874.2518,0.95636356
59,946.5281,874.1178,0.9558547
60,946.40576,874.50226,0.9523222
61,946.4049,873.98676,0.94827616
62,946.22516,874.11127,0.94295555
63,946.187,874.1102,0.94008374
64,946.5594,874.37787,0.95243615
65,946.1598,874.12115,0.9358999
66,946.3335,874.3174,0.9478843
67,946.2434,874.17847,0.94391894
68,946.50964,874.1155,0.95265555
69,946.2247,874.51196,0.952716
70,946.49097,874.4549,0.95060986
71,946.2863,874.464,0.94871485
72,946.7257,874.4454,0.95501053
73,947.02,874.73926,0.9486247
74,946.9813,874.64606,0.94638723
75,946.7275,874.8125,0.96000427
76,946.83185,874.89923,0.9604906
77,946.2949,874.61957,0.9409866
78,946.25085,874.53345,0.9431294
79,946.3099,874.22076,0.9408901
80,946.48596,874.2559,0.94419706
81,945.11694,873.76135,0.8534415
82,945.3452,874.43475,0.8811914
83,948.26544,874.76733,0.96155
84,946.01843,875.04047,0.924926
85,947.96796,875.09576,0.970305
86,947.61005,874.9549,0.9775256
87,947.6407,874.66254,0.97710544
