scorer,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010
bodyparts,center of carapace,center of carapace,center of carapace
coords,x,y,likelihood
0,827.3134,968.5176,0.25868297
1,819.4484,956.0161,0.13026133
2,1133.419,539.1474,0.040742084
3,831.2484,964.89435,0.14930372
4,831.9885,961.5037,0.2810173
5,839.6554,961.9833,0.23317413
6,847.35474,960.8215,0.26246864
7,859.96594,960.7905,0.39890388
8,854.0643,941.58606,0.36280444
9,869.2575,950.0981,0.18584518
10,870.4076,940.1009,0.39655453
11,875.28296,942.07983,0.26855034
12,880.77374,936.7792,0.35298505
13,883.0471,937.36865,0.34839427
14,886.50745,936.21375,0.36877275
15,896.57153,937.39575,0.46799505
16,900.41394,933.1123,0.49349013
17,904.4028,929.0812,0.16380396
18,913.26025,928.382,0.18775527
19,914.9987,927.65,0.33626577
20,916.5408,925.24774,0.47823414
21,920.75714,923.27466,0.62535137
22,925.5356,924.51764,0.67025936
23,927.6287,924.7912,0.75481015
24,928.84204,923.2759,0.78716445
25,931.3898,924.18896,0.8817338
26,933.04224,923.6328,0.88828874
27,935.3367,922.68646,0.8511269
28,937.55493,922.5477,0.8654657
29,939.0621,923.2221,0.8527869
30,940.69507,924.0608,0.8629735
31,941.85614,923.96484,0.8708386
32,943.21954,924.24115,0.82417935
33,943.46,924.3298,0.82577217
34,944.42633,925.482,0.8207128
35,945.3241,925.9884,0.8281253
36,945.90485,927.4763,0.81895924
37,947.0991,928.2518,0.8013293
38,948.4596,928.9715,0.8000962
39,949.5378,929.2093,0.80541426
40,950.4766,929.29517,0.7943436
41,950.60114,929.3602,0.80682665
42,952.2725,929.7724,0.8154695
43,952.7203,930.2148,0.8229004
44,953.34595,930.3714,0.8192247
45,953.66016,930.13074,0.8455339
46,954.0826,930.19666,0.84970826
47,954.2391,929.75037,0.8416903
48,954.1944,929.4388,0.83622116
49,954.51373,929.7404,0.8447683
50,954.4209,929.56726,0.8460818
51,954.3353,929.57745,0.8360235
52,954.77637,929.54395,0.8554647
53,954.9113,929.1821,0.85266036
54,954.942,928.8897,0.84453446
55,954.601,928.7743,0.8482997
56,955.10834,928.35754,0.8260132
57,955.2462,928.0868,0.822612
58,955.0466,927.9364,0.8190417
59,954.94403,927.7682,0.8262615
60,954.6166,927.8197,0.8305205
61,954.81244,927.6031,0.84010774
62,955.3891,928.5134,0.83479166
63,955.54926,928.32104,0.8331896
64,955.02014,927.9644,0.83849293
65,955.71936,928.4246,0.84032434
66,955.01984,927.75726,0.8461891
67,955.2325,927.5927,0.8430825
68,955.6979,927.4482,0.83232635
69,956.0146,927.71136,0.8119931
70,955.98755,927.8715,0.8141001
71,955.93976,927.8997,0.8111822
72,956.20233,927.9569,0.81053764
73,956.36993,928.562,0.82427454
74,955.9169,928.9193,0.8352564
75,955.5398,928.61975,0.80625606
76,955.31396,928.7445,0.8420408
77,954.6177,927.47485,0.83030224
78,955.7771,928.3068,0.80781287
79,955.6333,927.73425,0.83947766
80,956.0043,928.46246,0.84072065
81,957.101,928.8358,0.83554494
82,957.36633,929.6573,0.8732189
83,958.23206,930.6562,0.8519898
84,958.70746,931.1267,0.8615967
85,959.3004,931.77264,0.8365133
86,960.4711,931.5352,0.85323876
