scorer,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180
bodyparts,LE,LE,LE,RE,RE,RE,MA_C,MA_C,MA_C
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1172.9331,634.51294,0.8712598,1194.9915,626.2249,0.87550676,1194.4365,658.87177,0.9911892
1,1173.1702,635.46967,0.89118934,1195.5175,627.3942,0.83972824,1194.3455,658.7812,0.94970363
2,1172.7092,637.01355,0.9456317,1194.8333,628.6225,0.86747396,1194.1752,660.03754,0.96406996
3,1173.9841,638.3096,0.90583533,1196.0295,629.62537,0.8933182,1194.8585,661.2639,1.0
4,1173.6892,638.9069,0.87267995,1195.4778,630.391,0.83897394,1196.1426,661.8087,1.0
5,1180.739,638.0582,0.70793116,1199.4795,631.48096,0.71808296,1197.2491,662.0361,0.9491707
6,1187.1177,636.1523,0.5877573,1200.5988,632.2267,0.6373891,1198.8474,661.3122,0.9635637
7,1196.7063,632.8663,0.53609306,1212.1843,633.53455,0.4308436,1201.0441,660.6781,0.9837443
8,1193.3248,636.38983,0.45055574,1205.5564,633.18787,0.41719732,1201.0608,660.74664,0.91342044
9,1192.9172,636.938,0.47687864,1205.6608,633.6519,0.44614267,1200.5897,661.4019,0.8876917
10,1198.1475,632.5878,0.7697844,1219.7594,638.4762,0.6228575,1199.7009,664.12885,0.9425582
11,1199.4845,632.85956,0.69105864,1219.9646,638.40906,0.5801197,1199.0052,663.7616,0.93651336
12,1199.1528,632.4274,0.7312011,1219.8667,639.2124,0.63200533,1199.1495,664.0512,0.9438968
13,1202.4252,632.2837,0.84346455,1224.2053,640.0615,0.7560936,1199.594,664.9403,0.9370333
14,1196.8062,633.62933,0.678935,1215.8472,637.6712,0.556097,1199.9701,663.5747,0.9274646
15,1198.9893,633.6341,0.6584006,1216.9901,637.77374,0.52464646,1199.8951,664.12506,0.89115846
16,1192.463,638.4239,0.47805378,1207.2253,635.0389,0.5373576,1199.6816,663.4024,0.88397485
17,1191.8097,637.5868,0.5119043,1208.0472,634.03156,0.56486726,1200.0634,663.2581,0.8693014
18,1194.9171,636.24164,0.63409746,1215.4285,637.15247,0.56078607,1200.7892,663.67883,0.92199075
19,1197.305,634.17786,0.6454205,1216.4406,636.9384,0.53337157,1198.323,666.0195,0.90477616
20,1194.7186,635.2598,0.74418813,1213.8922,635.8403,0.565727,1199.052,666.0576,0.91157013
