"","Distance","Speed_Pixels","Speed_per_Bodylength","Bearing_Change","Dir_of_Movement","Bearing_Movedir_Dif"
"1",29.0043100245464,174.025860147278,1.14593001875542,-0.0217917221186279,-3.12435298239526,6.00568886506061
"2",73.6562964043129,441.937778425877,2.91008339962636,0.155500698517925,-2.96416780718865,5.82371196773536
"3",116.594382368963,699.566294213779,4.60652236380624,-5.98696519881235,-2.95176633521939,5.96681119428403
"4",137.569073559431,825.414441356583,5.43521052252954,0.0286850096978819,-2.86928393638904,-0.102636403358671
"5",162.253659434849,973.521956609095,6.410472748428,0.305705250247965,-2.7193007619628,-0.223934568087027
"6",168.968192272984,1013.8091536379,6.67575693324832,-0.253513884660861,-2.5265030805331,-0.11102699926876
"7",13.6014705087354,81.6088230524127,0.537379904641267,-0.13354617619208,2.51279636717436,-5.40384033163708
"8",34.8209706929603,208.925824157762,1.37574021121331,0.0173095049266481,2.86526537861473,-5.88985551926953
"9",25.831182706179,154.987096237074,1.02056307003735,-0.0551965121000757,2.88722459503653,-5.89450523076468
"10",0.707106781186548,4.24264068711929,0.027937050953511,-0.00726679870799218,-2.35619449019234,-0.706282657635885
"11",4.60977222864644,27.6586333718787,0.182127289770398,-0.0405931834447095,1.78946527266884,-4.85920921920506
"12",21.1896201004171,127.137720602503,0.837179775645116,6.19905141528751,1.90747114618162,-5.01780827616256
"13",20.8806130178211,125.283678106927,0.82497122830663,0.0235463720545273,1.86225312127276,1.22646116403381
"14",17.1828402774396,103.097041664637,0.678876086510375,-0.017008207577029,-0.146012257711275,3.25827291507238
"15",12.0208152801713,72.1248916810278,0.474929866209688,-6.14787596615604,-0.29544083714372,3.3906932869278
"16",13.2098448136229,79.2590688817374,0.521907182147071,0.106051157552139,-0.514451313059028,-2.53817220331294
"17",1.11803398874989,6.70820393249937,0.0441723560606368,0.0276685092365212,-2.67794504458899,-0.26862731423084
"18",2.91547594742265,17.4928556845359,0.115187411949589,0.00936362687949588,2.11121582706548,-5.03011967664879
"19",2.54950975679639,15.2970585407784,0.100728469698134,0.0401613402889867,2.94419709373991,-5.85373731644372
"20",4.30116263352131,25.8069758011279,0.169934446747049,-0.0586070851271123,-2.19104581277772,-0.678333069637105
"21",10.6066017177982,63.6396103067893,0.419055764302666,-0.0392622132860097,-0.785398163397448,-2.14258780414449
"22",4.94974746830583,29.698484809835,0.195559356674577,-0.0156139714758079,-0.785398163397448,-2.1818500174305
"23",8.32165848854662,49.9299509312797,0.328780041993278,-0.00382407313760424,-0.571337479833627,-2.41152467247013
"24",6.18465843842649,37.1079506305589,0.244349400290647,0.0829040964885706,0.244978663126864,-3.23166488856822
"25",5.3851648071345,32.310988842807,0.212762241308899,0.0535531816015209,0.380506377112365,-3.28428850606515
