scorer,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180
bodyparts,LE,LE,LE,RE,RE,RE,MA_C,MA_C,MA_C
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1163.5549,635.5679,0.7164686,1211.9763,649.5825,0.5119489,1152.2358,684.0665,0.67398816
1,1161.69,636.1791,0.69695836,1221.278,641.1818,0.5316691,1151.7485,685.75964,0.68157834
2,1160.1558,636.53955,0.7116299,1204.9854,652.88617,0.6211036,1156.0156,688.393,0.7443959
3,1160.4576,634.7905,0.728091,1216.5092,643.9093,0.5914095,1155.4689,686.79724,0.760874
4,1161.7213,638.94885,0.7368187,1209.2396,654.7147,0.6016566,1157.1876,690.0315,0.7810496
5,1159.5175,637.16223,0.69360757,1204.509,655.9625,0.54457617,1154.7546,687.84296,0.731322
6,1157.8756,636.696,0.68486094,1200.3911,656.5811,0.7169219,1154.8981,687.9625,0.73623145
7,1160.0249,639.57025,0.691768,1204.2139,653.62274,0.64957863,1154.5308,688.7242,0.7512847
8,1158.8234,636.644,0.73020166,1210.2732,651.1947,0.8324835,1155.5244,688.6541,0.7330992
9,1157.988,640.5023,0.71877277,1213.6885,646.3157,0.75435734,1155.5143,689.1751,0.7682232
10,1157.3247,637.5264,0.6377124,1211.0171,650.553,0.85028875,1156.8179,690.0246,0.7074893
11,1153.269,629.963,0.7609608,1207.3756,650.9417,0.77953833,1149.567,685.2432,0.704742
12,1155.4907,636.77704,0.67964834,1209.2849,649.55536,0.83897024,1154.9281,689.412,0.69249
13,1154.9282,636.4349,0.68934083,1207.5654,650.6827,0.83236176,1154.4667,689.0826,0.6991262
14,1152.7654,630.97876,0.7597548,1199.3439,650.4758,0.74708587,1150.1802,685.22644,0.71182626
15,1153.2526,634.34515,0.7810252,1192.4327,651.60266,0.9112226,1152.2676,687.3377,0.71515226
16,1152.0369,631.5412,0.82911164,1189.8905,653.0459,0.93596834,1147.881,683.13,0.80284107
17,1152.2125,630.7641,0.8146908,1190.7712,652.28656,0.82822967,1148.218,684.0704,0.7269427
18,1151.8927,630.1073,0.83611023,1189.0518,652.6967,0.8392562,1148.7961,684.3482,0.74218243
19,1152.9515,633.1563,0.8108007,1189.5013,652.6461,0.9097553,1149.1891,684.1612,0.7469612
20,1151.5004,633.52136,0.7620805,1188.0938,655.0596,0.8437199,1149.6821,683.74445,0.76662534
