scorer,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180
bodyparts,LE,LE,LE,RE,RE,RE,MA_C,MA_C,MA_C
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1195.4862,197.95822,0.9410435,1225.1105,188.36528,0.8633043,1212.6256,225.2761,0.842945
1,1196.01,198.4323,0.93698657,1225.7882,188.84117,0.90546405,1212.399,226.06177,0.81782335
2,1195.7462,198.6632,0.9303861,1225.1409,188.42482,0.8758752,1212.2516,226.39922,0.82663274
3,1195.9344,198.84303,0.90118974,1226.6854,188.37631,0.94064224,1212.2134,227.6098,0.8076057
4,1195.8892,198.89613,0.92309654,1225.7533,188.42297,0.8963117,1212.3427,226.98848,0.7834394
5,1196.2506,198.84818,0.91401845,1226.6971,188.30502,0.9328928,1212.7963,226.73645,0.80853546
6,1197.4092,198.12488,0.88799936,1227.302,187.33287,0.9516291,1213.2725,227.11372,0.820686
7,1196.5332,197.72028,0.9367197,1226.8745,188.13683,0.9414033,1212.59,227.59831,0.80883974
8,1197.5052,197.7141,0.9319554,1227.6508,188.54915,0.95808965,1212.7336,227.5032,0.8093417
9,1197.4331,197.67297,0.9196416,1227.5358,187.56215,0.9505286,1213.2567,226.49321,0.8143369
10,1197.2965,197.21297,0.91780925,1227.6198,187.01,0.9527054,1213.3794,226.30548,0.81953174
11,1196.4541,197.17212,0.9427819,1227.1647,187.96051,0.95198816,1212.74,227.05197,0.8201908
12,1197.1276,198.17567,0.908513,1226.931,188.07898,0.91885704,1213.2035,227.15704,0.80286545
13,1197.6458,197.94235,0.893434,1227.2611,187.78474,0.9445559,1212.9784,226.84029,0.8081357
14,1197.6765,196.99052,0.90611595,1227.5165,187.1838,0.9471824,1212.7883,226.54146,0.81105095
15,1198.0627,197.22276,0.91486853,1227.5829,187.3044,0.952425,1213.2731,226.14252,0.81517506
16,1198.6521,198.35565,0.8697293,1228.0161,187.4186,0.9542973,1213.384,226.96289,0.8115156
17,1197.9756,197.48494,0.88455814,1227.6763,186.02914,0.9531339,1214.0333,225.57451,0.81419456
18,1197.5917,197.24739,0.9450605,1227.3595,186.98094,0.9486783,1213.5695,226.49286,0.81042105
19,1197.8892,196.9176,0.9523441,1226.8633,187.81645,0.9249844,1212.8441,227.04901,0.8173086
20,1196.9652,196.8144,0.96823514,1226.9401,187.20726,0.9465122,1212.8651,226.79094,0.8135911
