scorer,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180
bodyparts,LE,LE,LE,RE,RE,RE,MA_C,MA_C,MA_C
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,636.9673,720.49316,0.45757252,635.76044,742.68536,0.651929,605.7933,737.5811,0.59712464
1,634.653,728.5561,0.33669987,636.8747,742.75745,0.5535326,608.99536,742.4094,0.37594113
2,635.983,726.9793,0.34585732,638.46893,742.20416,0.61045754,610.6133,740.535,0.36308485
3,631.99097,741.4282,0.6547728,627.59753,762.18884,0.6061242,598.5012,747.90936,0.8818559
4,634.4253,739.84485,0.5188002,624.7006,765.4987,0.6705885,598.8086,747.01086,0.8919028
5,634.0722,741.53577,0.57672477,623.44763,766.97253,0.80681807,597.84296,744.2123,0.9086385
6,631.9375,742.1321,0.5946584,622.1141,767.115,0.8419407,597.8615,744.5391,0.8150368
7,634.3006,736.97485,0.49709523,623.2494,765.0629,0.61623967,597.16833,742.3677,0.9391604
8,634.1257,735.599,0.41427898,621.6682,764.6241,0.73739123,600.36426,740.1655,0.788841
9,633.3884,743.9916,0.61149603,622.5408,767.4548,0.9426923,597.475,743.8095,0.9737554
10,642.7985,713.8451,0.38953888,637.2109,742.5033,0.5888599,604.168,736.92053,0.57098484
11,634.23944,736.5589,0.54761314,628.054,765.91565,0.7653138,598.4861,746.3519,0.96108323
12,649.9898,724.04456,0.27516884,654.93585,732.5185,0.31551728,631.6759,733.2643,0.14296007
13,635.7966,720.17706,0.40888306,631.2038,752.7147,0.54015714,597.14343,744.8841,0.89713854
14,630.61127,742.4451,0.7704854,623.87476,767.6599,0.8598735,597.1432,749.24927,0.93285406
15,633.1446,741.0887,0.7312543,627.38367,766.0675,0.6924136,600.1127,749.5461,0.78891855
16,630.41583,734.8238,0.35310653,630.0085,753.79626,0.4197867,598.04346,747.54333,0.61706465
17,630.0594,743.0319,0.7824163,625.1395,766.9946,0.7773239,596.63245,751.2459,0.82508004
18,632.46216,736.48883,0.5413554,619.79065,766.5469,0.66568,597.28186,746.4111,0.8544597
19,643.29114,730.1206,0.24894316,637.8327,739.79694,0.29459786,618.9414,747.5487,0.18393078
20,631.87134,740.204,0.35877922,619.74115,763.6305,0.5282654,598.5896,749.47577,0.50345576
21,632.28174,717.56433,0.36315322,632.28125,740.1202,0.48703444,600.46436,741.681,0.53817236
22,632.1907,739.8432,0.6156478,621.5348,764.5114,0.71163565,596.23083,747.5648,0.79934555
