scorer,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010
bodyparts,center of carapace,center of carapace,center of carapace
coords,x,y,likelihood
0,1016.88885,870.7745,0.28758824
1,1015.40405,867.99066,0.3061941
2,1016.23615,865.61664,0.22029807
3,1016.5572,866.6485,0.23710221
4,1015.6385,865.13416,0.21613865
5,1015.50165,856.0215,0.51333755
6,1022.35583,854.2019,0.32398427
7,1022.5243,847.56396,0.46545413
8,1022.7077,844.39655,0.4625356
9,1023.5281,840.7731,0.5598557
10,1022.8936,837.7292,0.5342928
11,1027.5111,830.7441,0.46749613
12,1028.8622,824.6987,0.36432374
13,1025.7887,828.3264,0.4760366
14,1028.3885,820.71027,0.38817337
15,1030.1161,816.04944,0.3644386
16,1031.7109,812.4292,0.29144868
17,1032.854,807.3775,0.49236992
18,1031.8315,804.57764,0.47245523
19,1032.247,798.7092,0.6375354
20,1036.3423,792.3501,0.5265954
21,1035.5083,790.57263,0.5810329
22,1035.4141,787.2342,0.56013536
23,1037.3241,781.2863,0.85620445
24,1039.2128,777.6766,0.77686405
25,1039.0927,775.2891,0.74802166
26,1040.185,772.10004,0.7403393
27,1042.1459,769.9445,0.8041221
28,1041.4513,768.3116,0.7992207
29,1043.3422,766.47,0.81811386
30,1043.6598,765.8932,0.8051887
31,1045.4872,764.94995,0.80363613
32,1046.8434,764.9499,0.78465277
33,1047.8303,765.5237,0.766181
34,1049.3827,765.50555,0.8123946
35,1051.5194,765.1858,0.8453973
36,1053.2483,765.11664,0.83191687
37,1054.9434,765.25995,0.82468295
38,1056.4187,765.3553,0.7980843
39,1057.9486,766.6378,0.8227287
40,1059.992,767.2438,0.83046335
41,1060.8264,767.29913,0.86677194
42,1062.4221,768.46533,0.8173393
43,1064.9819,768.54016,0.80698204
44,1068.5143,767.93243,0.8580832
45,1068.6276,768.64813,0.83634204
46,1070.6793,768.8706,0.81369346
47,1073.0533,769.1887,0.7649182
48,1075.6436,769.97327,0.7676422
49,1079.318,769.35333,0.7815163
50,1081.0098,767.7449,0.8940554
51,1086.1702,766.97437,0.858695
52,1091.2311,765.3855,0.8729718
53,1096.1195,762.6562,0.7893853
54,1101.564,760.6764,0.71290064
55,1104.9552,759.54584,0.69555175
56,1108.7595,759.58264,0.73381585
57,1110.8146,758.93665,0.69653547
58,1115.2858,757.8576,0.6433712
59,1118.0186,757.0947,0.6619379
60,1121.0531,756.9182,0.64443684
61,1124.8046,757.82245,0.47259244
62,1124.7192,756.2354,0.50332487
63,1124.3568,756.3313,0.5384664
64,1125.5908,759.0335,0.6384864
65,1125.6831,757.05994,0.6611935
66,1122.8658,755.2049,0.6052898
67,1121.2982,752.3929,0.6285812
68,1119.9547,753.71466,0.6586216
69,1119.0402,754.78564,0.6380895
70,1120.35,753.7835,0.6329716
71,1121.6589,752.8849,0.67975134
72,1123.4205,755.01855,0.6571398
73,1123.6907,756.4677,0.6982449
74,1122.8367,753.5497,0.6491412
75,1121.752,751.08636,0.67329854
76,1122.0782,753.8612,0.63087887
77,1124.4152,753.44226,0.53999716
78,1127.7548,754.45044,0.5180298
79,1130.2869,753.5637,0.56484795
80,1134.1178,755.629,0.59730357
81,1130.8596,754.23376,0.62902415
82,1126.5336,750.6084,0.67453194
