scorer,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010
bodyparts,center of carapace,center of carapace,center of carapace
coords,x,y,likelihood
0,539.03143,246.37607,0.88835394
1,540.5075,247.91708,0.7950227
2,542.33057,247.56152,0.8294616
3,545.9421,247.82553,0.7965763
4,547.05536,249.58847,0.86276317
5,547.6134,250.3297,0.7993225
6,551.4192,250.86241,0.72226363
7,553.42664,252.45532,0.75973797
8,559.91327,255.15623,0.82700664
9,565.9618,258.7762,0.9162615
10,568.7053,261.1463,0.99700296
11,571.13043,262.28555,0.9647605
12,573.1395,262.00027,0.9037667
13,575.4806,261.63983,0.8510853
14,579.87585,262.83948,0.9043032
15,585.1804,264.51483,0.8374428
16,589.2248,263.92422,0.7427772
17,591.65283,263.17294,0.7210641
18,593.824,262.47995,0.76040983
19,594.4787,262.59186,0.81636894
20,596.3284,262.47565,0.8886372
21,596.5993,262.49707,0.881494
22,597.21533,262.30295,0.8781948
23,596.9338,261.95224,0.9008543
24,597.77295,262.00415,0.9313545
25,597.12305,262.4756,0.9507398
26,597.3425,262.74698,0.91948575
27,597.6025,262.59128,0.94788045
28,597.5309,262.70206,0.946955
29,596.9389,262.0913,0.9527094
30,596.6574,261.81454,0.991539
31,597.259,262.20764,0.99781364
32,597.2669,262.10345,0.9961962
33,597.2466,261.54358,1.0
34,598.6192,261.3624,0.8744597
35,598.70874,261.35486,0.95005786
36,597.9683,261.63773,0.9979726
37,597.8986,261.15646,0.98771507
38,598.18475,261.4751,1.0
39,598.0692,260.75064,1.0
40,597.944,260.8597,1.0
41,598.0855,261.16873,1.0
42,598.2914,261.11465,1.0
43,598.0775,260.8514,1.0
44,597.9778,260.54895,1.0
45,597.80707,260.0329,1.0
46,597.60236,259.34073,1.0
47,596.57733,258.4693,1.0
48,596.5263,257.28073,1.0
49,596.3858,256.4225,0.98646915
50,595.8883,254.01813,1.0
51,595.4293,251.7879,1.0
52,595.364,250.4303,0.9980538
53,595.00653,248.96834,1.0
54,594.3144,247.26689,0.98968714
55,594.33636,246.02649,1.0
56,593.5316,245.3503,0.9995447
57,592.81714,244.2809,0.9764828
58,592.4951,243.83032,0.9510766
59,592.14764,242.86632,0.91760767
60,591.6236,242.53477,0.9078231
61,591.2102,242.42975,0.88791305
62,591.7979,242.54938,0.9240023
63,591.9232,242.40848,0.96306
64,592.03217,242.48341,0.9509269
65,592.337,242.10863,0.9507273
66,591.5377,241.5568,0.94814515
67,591.2015,240.91696,0.9339253
68,590.3775,239.86871,0.88170534
69,589.7926,240.24155,0.8927219
70,589.2219,239.87675,0.87955046
71,589.3185,239.61507,0.9006245
72,589.2871,238.5251,0.94439465
73,588.99225,237.76445,0.98491275
74,588.95166,237.3013,1.0
75,588.3436,236.37657,1.0
76,588.0344,235.94748,1.0
77,587.5973,235.49045,1.0
78,586.73865,234.68718,1.0
79,586.57495,234.38687,1.0
80,586.1912,234.12491,1.0
81,586.09607,233.49355,1.0
82,586.0118,233.03386,1.0
83,585.59796,232.30629,0.97304887
84,585.1487,231.84756,0.9845856
85,584.81445,231.32957,0.9902141
86,584.6989,230.69215,0.9983479
87,584.424,230.36763,0.99589926
88,583.88367,230.13947,0.9788972
89,583.2419,229.27016,0.9774473
