scorer,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180
bodyparts,LE,LE,LE,RE,RE,RE,MA_C,MA_C,MA_C
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,680.0177,265.01993,0.9419508,650.9954,279.23337,0.94027424,644.8543,238.11044,0.86233205
1,679.6091,265.3828,0.9551849,652.6246,279.47153,0.9298519,645.73145,239.02098,0.86593175
2,680.0094,265.76007,0.9388748,652.4554,279.92444,0.92646897,646.25006,239.73718,0.8397938
3,680.71704,265.86893,0.9553436,652.3226,280.115,0.9254408,645.8992,239.97742,0.8354287
4,680.1798,265.31598,0.9608377,651.47095,280.33255,0.9049969,644.81934,239.84212,0.85814697
5,680.86523,266.33936,0.96282244,652.3548,280.65765,0.90141535,645.2593,240.58171,0.8520854
6,681.16095,266.1745,0.97197145,652.5474,280.33554,0.896199,645.25775,240.52345,0.8603363
7,681.2781,265.16006,0.9645469,652.4579,279.72635,0.9137756,645.6296,239.12329,0.8816468
8,680.91864,265.90027,0.9536222,652.1025,279.63742,0.91313916,646.08044,239.16133,0.85730916
9,679.6017,265.6631,0.9647505,650.5503,280.14392,0.8957596,644.42426,238.74301,0.8808575
10,679.8247,265.34363,0.9546372,650.57495,280.24606,0.8902736,643.86523,237.41768,0.8973697
11,678.8429,263.96143,0.939887,650.4809,279.64667,0.8831242,642.9492,237.65239,0.90507704
12,678.3228,263.46002,0.9514544,650.7225,280.16397,0.902927,642.4312,237.75839,0.91249317
13,677.967,265.56296,0.98089516,652.2525,280.8113,0.8547104,643.04205,239.04576,0.89037716
14,678.22327,265.6332,0.9859291,652.78735,281.03693,0.88500214,642.8816,239.10793,0.88526773
15,678.158,266.2232,0.95917284,653.417,281.05023,0.8933901,643.0207,239.71565,0.8723582
16,677.32947,264.35855,0.9815237,650.519,279.9169,0.866135,641.98566,236.46928,0.88266367
17,677.80035,264.04663,0.96475995,650.2848,280.25696,0.8715597,642.79297,237.2844,0.91349703
18,678.26105,264.46353,0.975352,650.10565,279.89145,0.8727204,642.6441,238.89626,0.87166464
19,678.9411,266.29507,0.93534666,650.6085,280.3037,0.83766574,643.5297,240.57013,0.857103
20,678.7886,265.05225,0.9397523,651.9848,279.36734,0.8352372,644.078,239.54407,0.85223675
21,678.27325,264.5869,0.956962,652.49194,278.34155,0.79565126,644.5409,240.66913,0.8552607
22,678.26483,266.4636,0.94241613,653.06024,280.14813,0.8334384,644.7801,239.72531,0.8667911
