scorer,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180
bodyparts,LE,LE,LE,RE,RE,RE,MA_C,MA_C,MA_C
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,713.8013,948.61145,0.47602317,705.9159,975.35614,0.6441173,674.4501,964.11725,0.6283923
1,713.4818,954.72595,0.22834204,706.6913,974.35876,0.33409405,676.9234,966.84863,0.29619253
2,740.6579,963.693,0.24434064,710.38214,976.83795,0.2412008,681.7913,970.0556,0.18081973
3,705.10754,958.74585,0.18825874,707.1661,975.09564,0.19772476,674.66956,968.0672,0.17876312
4,784.04083,996.33575,0.18828653,707.4065,975.93494,0.21919875,673.75024,968.4182,0.17873935
5,704.0693,954.7733,0.32541734,705.4614,976.1997,0.29720354,675.08386,969.68494,0.2342999
6,704.8208,959.6426,0.14985083,706.7904,974.36414,0.20406777,759.3817,947.8324,0.10665768
7,777.55176,998.53174,0.24512006,707.8335,974.889,0.22593448,676.5347,970.4486,0.13725127
8,714.6107,946.2238,0.43325123,705.9633,974.1131,0.3656094,673.3715,971.03534,0.40890527
9,713.6165,951.3335,0.32665026,707.3783,975.4898,0.24122004,674.83374,969.7989,0.2897776
10,785.73706,991.77655,0.30873576,786.9294,990.82635,0.25293383,677.6709,970.88513,0.165874
11,713.97736,949.3438,0.42175487,707.47485,974.2695,0.3326898,676.1105,963.97015,0.37322533
12,712.77325,949.2482,0.52447385,705.7451,975.50684,0.5195904,674.235,966.8029,0.55280846
13,713.1152,948.4778,0.44146234,706.4406,974.83954,0.5124922,674.9018,966.8583,0.562259
14,714.03577,948.0103,0.57507,707.22815,974.32806,0.53913045,674.45337,966.16364,0.6221596
15,712.28064,947.312,0.5732991,706.31647,973.2922,0.6470851,672.8775,964.4094,0.6369646
16,715.72876,950.1434,0.31585786,706.7398,975.20355,0.40301645,676.76086,963.0681,0.45244154
17,716.5467,948.2378,0.5085048,708.4874,974.1369,0.49249586,676.43036,966.1703,0.53232956
18,718.0234,944.76404,0.3456226,709.3858,974.2064,0.35660654,678.71014,966.3944,0.4025849
19,717.1472,949.0148,0.35843402,706.0658,973.4041,0.44571933,676.4013,965.57825,0.40967107
20,730.6054,953.179,0.3665372,709.6092,977.9993,0.43057135,679.67035,965.53235,0.5094006
21,781.2935,998.0979,0.3445878,708.5164,977.08057,0.34350008,679.96704,967.0339,0.24504064
