scorer,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180
bodyparts,LE,LE,LE,RE,RE,RE,MA_C,MA_C,MA_C
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,367.65604,786.05963,0.21507983,349.7377,779.89484,0.22781934,399.2218,740.1786,0.50093985
1,368.28564,784.0964,0.269234,348.7409,775.8171,0.35025495,397.81418,738.2349,0.73325115
2,319.4173,674.1902,0.2449516,316.69717,675.6457,0.535777,400.4745,744.93634,0.21787281
3,317.656,673.3354,0.38662118,318.4818,675.8242,0.5972163,324.48544,683.1525,0.21382432
4,315.5487,674.5089,0.18675748,318.7387,675.158,0.23533392,409.19022,761.8092,0.07210193
5,318.3012,674.5406,0.29167542,317.8297,673.9885,0.56547844,324.44788,684.2783,0.15448579
6,316.82352,677.5111,0.26095048,318.69348,675.5994,0.34661463,324.1911,588.4909,0.118177816
7,356.4297,782.8226,0.18979958,361.92438,787.9946,0.35081312,354.13446,797.40393,0.19513327
8,318.71756,675.72217,0.20155193,320.55853,678.46533,0.48096496,325.21634,586.0416,0.24814337
9,336.63745,601.85156,0.1963728,316.6651,601.3231,0.3761257,325.0647,585.1047,0.18417257
10,337.3302,603.1043,0.2533555,317.52652,602.57776,0.3843451,324.9541,585.3276,0.22570194
11,337.57196,604.37286,0.23381256,317.40353,605.52,0.2857185,324.627,584.66156,0.20694806
12,335.52325,603.76385,0.18987623,317.43744,605.7769,0.28430295,324.91275,585.013,0.19358999
13,336.03253,605.11523,0.21141484,318.5389,607.8387,0.30595246,325.4366,587.28754,0.15434122
14,322.49,677.3951,0.1809017,323.92093,677.2916,0.37014386,323.415,682.4195,0.17374115
15,338.81815,603.7008,0.28335178,318.73135,605.1922,0.33124322,325.05984,584.208,0.2449234
16,340.19458,603.91473,0.20337781,360.25867,788.7738,0.28887305,325.58252,586.26434,0.17209171
17,323.03137,678.29517,0.24510464,322.4543,679.023,0.62208724,321.1828,681.5572,0.24067582
18,322.40588,677.5321,0.23102562,323.12122,676.5877,0.56650525,322.67004,681.58563,0.22388321
19,325.41718,679.4154,0.15055282,324.31454,677.9123,0.25647154,323.75717,590.12244,0.119389065
20,329.68372,681.5958,0.23868224,333.5607,684.21094,0.29873216,322.73563,683.48987,0.1325881
21,334.16785,675.0825,0.22149216,331.52704,682.25903,0.4158945,326.64066,656.058,0.1728616
22,335.66287,675.0069,0.25252494,331.1119,683.1509,0.49340868,326.05032,677.9778,0.18976878
