scorer,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180
bodyparts,LE,LE,LE,RE,RE,RE,MA_C,MA_C,MA_C
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,757.49036,131.59743,0.39263114,775.99945,124.28718,0.08137871,763.9842,148.70879,0.12713589
1,758.07214,131.64664,0.24282852,759.98425,127.53819,0.18393269,750.0108,135.33896,0.04854736
2,755.7935,129.58737,0.3570046,749.46686,102.64603,0.20235495,749.5752,139.21101,0.16745111
3,821.76996,56.677677,0.20798896,818.8462,66.01462,0.0845361,824.40234,55.68171,0.041600104
4,739.9823,124.81279,0.2935519,748.5548,93.20183,0.16487575,768.9936,125.13821,0.09064569
5,737.976,128.45303,0.34023947,769.7975,131.43199,0.21549311,757.15955,153.5788,0.15630534
6,750.4134,136.22571,0.56943464,771.5153,128.80205,0.22637399,762.7222,148.62627,0.14456427
7,749.8656,134.70326,0.4457794,767.7565,128.7709,0.2315689,760.65436,142.01247,0.1371383
8,755.9159,132.30423,0.6931144,788.6207,124.60941,0.3119255,772.6244,141.25806,0.21254303
9,760.2565,131.4238,0.62935877,774.228,126.43742,0.26182932,776.235,143.97795,0.17579602
10,762.0964,133.41652,0.7079976,799.3349,124.61363,0.4883658,775.6726,143.17397,0.2742522
11,760.95593,133.79845,0.32930925,785.93274,40.53145,0.12881795,772.0717,141.90813,0.10278592
12,760.29193,135.25941,0.6612395,796.66705,122.22652,0.49218243,777.93726,146.25905,0.3385845
13,752.1545,131.10104,0.7658866,786.0002,121.865364,0.331021,778.5983,139.48486,0.21613021
14,756.4781,134.42412,0.5449606,768.6859,127.94555,0.33538923,758.1296,142.24983,0.15747386
15,753.17535,136.71869,0.47399724,766.1197,134.78487,0.39061427,753.46533,145.70334,0.1477897
16,754.5388,138.17458,0.46806112,777.9912,48.146927,0.38752553,756.2805,154.81104,0.15348533
17,757.0791,139.5615,0.8230211,794.41327,125.85422,0.61969423,775.65753,153.71695,0.42924726
18,753.3874,136.32672,0.86142886,786.4083,122.74685,0.48165172,771.7478,155.08247,0.47444898
19,757.13025,134.31538,0.43480688,764.8822,131.71751,0.17363928,766.3155,141.54524,0.08975677
20,757.67303,134.93657,0.66158247,787.5918,124.531815,0.4182815,778.85156,145.21205,0.3337574
21,756.89465,136.15881,0.6646525,789.6052,119.55195,0.5376918,773.54395,145.10063,0.27375665
