scorer,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010
bodyparts,center of carapace,center of carapace,center of carapace
coords,x,y,likelihood
0,1136.8201,703.1044,0.927855
1,1137.1483,704.43665,0.83979434
2,1138.4766,704.40717,0.8449721
3,1137.7766,703.5656,0.8819082
4,1139.5554,704.6485,0.8772545
5,1141.2422,706.33563,0.7459264
6,1141.0496,706.57245,0.7741558
7,1140.1763,706.2474,0.817178
8,1142.9286,708.46,0.80606973
9,1141.8475,709.3804,0.79832184
10,1142.4446,710.25433,0.7712879
11,1143.089,711.1183,0.716249
12,1142.0444,711.8243,0.7192121
13,1140.3463,711.40717,0.7342084
14,1142.5125,713.2608,0.746801
15,1144.0243,713.3577,0.798514
16,1143.3304,713.71954,0.78181267
17,1143.2627,715.1952,0.7774234
18,1143.313,715.85034,0.8406848
19,1142.1995,716.82513,0.88216
20,1140.911,717.41144,0.92293733
21,1140.3676,718.1528,0.9091577
22,1140.3032,717.65576,0.93491536
23,1140.3535,718.1086,0.9108625
24,1140.5363,718.3143,0.90324265
25,1140.5927,718.3793,0.885652
26,1140.6874,718.329,0.91662806
27,1140.5573,718.7442,0.9007321
28,1140.8295,718.4456,0.92324126
29,1140.4762,718.745,0.90078884
30,1140.6865,718.28894,0.9051304
31,1140.7009,718.2293,0.9019707
32,1140.5919,718.4759,0.9069935
33,1140.6189,718.6458,0.9002086
34,1140.1074,718.5532,0.9101266
35,1140.5865,718.332,0.90304816
36,1140.8618,718.7578,0.896331
37,1140.8552,718.5612,0.9064766
38,1141.0831,718.67804,0.8889507
39,1141.1042,718.75226,0.875615
40,1141.324,719.00946,0.8914404
41,1141.4371,719.23334,0.87055737
42,1141.2041,718.91205,0.87122965
43,1140.6575,718.72906,0.8828776
44,1140.7787,718.6173,0.900347
45,1140.6797,718.52747,0.906085
46,1140.5605,718.67377,0.89022154
47,1140.6471,718.80884,0.8836769
48,1140.415,718.7486,0.87662494
49,1140.633,718.79456,0.88000333
50,1140.4302,718.72455,0.8792339
51,1140.6086,718.8116,0.87904054
52,1140.2937,718.75635,0.8717537
53,1140.3241,718.8383,0.8711984
54,1140.393,718.5946,0.8734603
55,1140.5023,718.7589,0.8698188
56,1140.6415,718.73303,0.86939645
57,1141.2144,718.8625,0.8651451
58,1140.9064,718.63135,0.8845802
59,1140.7697,718.65717,0.87831247
60,1140.4874,718.65027,0.87279546
61,1140.7622,718.3891,0.8833516
62,1140.294,718.8094,0.8667924
63,1140.712,718.8814,0.8549031
64,1140.5339,718.9623,0.8590831
65,1140.1984,718.8704,0.84776163
66,1140.5723,718.8434,0.8538646
67,1140.1814,718.24506,0.8774392
68,1140.6903,718.8502,0.8499115
69,1141.108,718.9608,0.8417899
70,1141.1653,719.1919,0.8362438
71,1141.3835,720.09656,0.8187212
72,1141.317,720.6369,0.83039933
73,1141.449,721.20624,0.84360397
74,1142.6125,722.35004,0.8623224
75,1144.3208,722.8623,0.8646029
76,1145.1112,723.11664,0.9030786
77,1146.0088,723.7174,0.9465506
78,1147.4761,724.72,0.9822729
79,1148.257,724.90497,1.0
80,1149.5436,726.3283,1.0
81,1150.478,727.3378,0.9613622
82,1152.7153,728.62,0.93247694
83,1153.9886,729.19476,0.9340958
