scorer,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010
bodyparts,center of carapace,center of carapace,center of carapace
coords,x,y,likelihood
0,1074.5105,959.80804,0.14944685
1,1082.2292,950.5007,0.417553
2,1091.4036,941.4573,0.60966307
3,1098.6968,931.94183,0.55234087
4,537.9605,675.58545,0.44792837
5,1117.1821,912.8038,0.59828955
6,1124.7931,901.9961,0.76120335
7,1136.7621,894.04913,0.6280409
8,1140.8656,883.91644,0.5000757
9,1150.543,873.60925,0.5849068
10,1160.4703,865.9023,0.72719204
11,1163.936,856.6484,0.6582843
12,1170.543,847.5689,0.6801835
13,1177.062,836.7228,0.6852613
14,1183.7859,827.45135,0.64180183
15,1188.2703,818.17267,0.6586739
16,1192.9945,807.2571,0.7293539
17,1197.003,796.7785,0.73458403
18,1199.5238,785.7563,0.67150456
19,1201.3381,774.4606,0.6183036
20,1203.2385,761.5504,0.73854715
21,1205.4303,752.80286,0.7620127
22,1208.1965,741.91345,0.74051607
23,1212.5612,733.2534,0.7536251
24,1215.2231,724.52124,0.63370067
25,1217.6165,713.86346,0.78314847
26,1219.9701,704.6035,0.72851473
27,1221.2859,694.2713,0.70921737
28,1222.7975,685.21063,0.7408418
29,1224.8269,676.3436,0.7700956
30,1225.9788,666.71014,0.6667339
31,1228.8702,657.5666,0.56941855
32,1230.1881,647.4466,0.5440076
33,1232.0785,637.6764,0.5742255
34,1232.856,628.76166,0.56480145
35,1234.5159,619.59656,0.7080343
36,1235.2516,609.88226,0.72313404
37,1237.9762,600.5226,0.7943393
38,1238.0414,592.3406,0.7993263
39,1237.8303,583.5228,0.7149626
40,1238.8768,573.46814,0.77136207
41,1239.1323,564.6674,0.8802521
42,1240.0906,560.07947,0.7917376
43,1240.5338,553.7573,0.83877903
44,1239.0476,548.2361,0.7310465
45,1238.6914,541.592,0.7430526
46,1235.5322,534.4543,0.753256
47,1236.1943,529.1235,0.7043505
48,1235.5083,522.4748,0.75962734
49,1234.2034,517.5808,0.7004988
50,1236.7157,513.02155,0.7612786
51,1236.8291,506.66238,0.865675
52,1239.031,502.3659,0.8102415
53,1238.9143,497.3166,0.69763994
54,1239.5697,490.69,0.7277459
55,1240.2186,485.63165,0.71517605
56,1241.4572,482.1069,0.6633908
57,1243.9495,475.71194,0.7040013
58,1244.334,472.2645,0.7378455
59,1245.754,468.01508,0.8160001
60,1245.7543,463.65222,0.7815635
61,1245.6173,459.39978,0.8585915
62,1245.5245,453.48746,0.8374957
63,1245.441,446.83414,0.8449002
64,1244.4355,441.09637,0.74852836
65,1243.4058,435.94128,0.73126566
66,1240.9553,429.42456,0.8723227
67,1240.7938,424.26508,0.8057923
68,1239.5876,419.61118,0.7610622
69,1238.8678,414.37845,0.77588254
70,1239.5481,409.12265,0.7761566
71,1238.717,404.4014,0.7566701
72,1239.0972,398.94028,0.72897136
73,1239.2723,393.45425,0.7999553
74,1236.3269,387.87805,0.81990606
75,1235.061,383.08337,0.61968803
76,1231.1038,377.74435,0.6656295
77,1227.9302,374.7926,0.7664065
78,1224.2618,371.0957,0.7997913
79,1222.1766,367.25854,0.7885367
80,1221.05,362.40808,0.7990761
81,1217.9172,358.76514,0.77555573
82,1216.0435,353.8936,0.71377826
