scorer,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010
bodyparts,center of carapace,center of carapace,center of carapace
coords,x,y,likelihood
0,728.1973,1015.2836,0.82260895
1,736.21906,1017.4049,0.83824545
2,746.95953,1019.11646,0.9909411
3,757.9525,1019.6712,0.918077
4,767.8747,1017.86536,0.8251036
5,779.6108,1015.1292,0.8080133
6,790.7123,1011.61127,0.7320848
7,799.32825,1011.7034,0.75919473
8,813.1677,1008.61127,0.714642
9,825.05634,1003.8009,0.7646898
10,837.96326,1000.469,0.7982556
11,848.46387,995.6671,0.7151155
12,859.2628,990.95074,0.7548426
13,871.5437,988.5099,0.80741024
14,881.8963,984.67,0.8369112
15,891.2129,979.0098,1.0
16,903.5821,977.27014,0.8866815
17,912.5467,973.2491,0.8435786
18,923.13055,967.83856,0.99961007
19,932.7325,964.38495,0.95537484
20,941.9095,960.3267,0.86742043
21,953.4181,954.7806,0.95958775
22,960.9174,950.67206,0.92060006
23,972.00397,944.81635,0.8618902
24,981.9377,942.3624,0.8837433
25,989.4344,938.2147,0.8860662
26,995.90924,935.10016,0.97254926
27,1001.628,931.3788,1.0
28,1007.5818,928.27606,0.8667912
29,1013.0282,923.71466,1.0
30,1016.91437,920.76886,0.99224955
31,1020.8322,919.0432,0.9673387
32,1025.4174,915.4973,0.93556476
33,1030.3345,913.36456,0.9121438
34,1035.3553,911.6803,0.875094
35,1042.8558,910.0023,0.94727254
36,1048.3247,907.3272,0.8777264
37,1052.3257,907.6242,0.9238369
38,1056.3262,907.065,0.9151181
39,1058.8945,906.089,0.95149493
40,1062.5363,903.3426,0.89124954
41,1065.4446,901.0335,0.90332305
42,1068.344,898.4068,0.90813875
43,1072.2269,894.1675,0.9212307
44,1074.5371,891.10767,1.0
45,1078.4486,889.61475,0.987664
46,1082.7235,885.7663,0.9828101
47,1085.9532,882.8862,0.90064055
48,1088.4673,878.26514,0.8932717
49,1091.7993,874.8528,1.0
50,1095.3485,870.8354,0.9336953
51,1097.8975,868.15,1.0
52,1100.2383,865.2561,0.9074853
53,1104.4227,860.9996,1.0
54,1107.2894,858.80493,0.96155083
55,1111.5477,855.18463,0.8597793
56,1114.5068,852.22424,0.98914266
57,1117.5358,849.75946,0.87122285
58,1121.5023,847.70624,0.94107
59,1124.5369,845.73267,0.99160385
60,1126.9764,843.69507,0.994386
61,1129.7252,839.28644,0.91759855
62,1132.5693,836.4929,0.9201637
63,1134.8856,834.61957,0.80372053
64,1137.7954,830.8822,0.89139605
65,1140.4197,829.12476,0.9559548
66,1142.9132,827.2291,0.9611215
67,1144.8068,824.46686,0.8942295
68,1146.7421,822.2179,0.92853737
69,1149.19,820.88446,0.9036164
70,1151.3774,818.20953,0.81244105
71,1156.5825,815.24915,0.900311
72,1159.0785,813.5118,0.9575913
73,1160.192,810.39496,0.9463886
74,1161.3475,806.987,0.9391866
75,1163.3079,805.32916,0.9335209
76,1165.6482,802.7641,0.8677722
77,1169.4425,801.0041,0.87568665
78,1173.4095,799.8362,0.8808569
79,1174.3436,797.81287,0.89927953
80,1175.4521,796.98944,0.93307143
81,1176.0901,794.69855,0.94131297
82,1177.1844,793.62714,0.9396832
83,1178.0662,792.6566,0.90587455
