scorer,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010
bodyparts,center of carapace,center of carapace,center of carapace
coords,x,y,likelihood
0,1176.3942,502.1676,0.6634128
1,1173.041,504.20056,0.781799
2,1168.558,505.94138,0.70971084
3,1170.2131,508.2714,0.8228586
4,1168.1097,511.53583,0.70906955
5,1166.779,512.96735,0.75644433
6,1166.4868,515.35284,0.76913226
7,1167.275,517.2421,0.74587995
8,1169.0017,518.48676,0.798524
9,1168.2465,519.21814,0.7853366
10,1168.6504,521.10034,0.745541
11,1168.842,522.6295,0.73912305
12,1173.2479,524.1131,0.85961455
13,1170.8522,527.4888,0.8237167
14,1172.6039,528.33923,0.65727454
15,1177.115,528.5006,0.6328211
16,1173.386,529.16284,0.88883245
17,1189.4485,526.232,0.6498073
18,1179.3518,533.8523,0.6324473
19,1186.087,527.3131,0.44271868
20,1191.0176,533.09033,0.634146
21,1193.3914,533.63715,0.68453914
22,1196.7385,534.6843,0.5832042
23,1199.8616,536.1083,0.5492387
24,1202.6132,536.9667,0.67714906
25,1205.1897,538.715,0.7572953
26,1207.5222,540.09955,0.6918631
27,1208.4492,542.2567,0.6154608
28,1210.4843,543.57806,0.5885136
29,1209.7517,546.8136,0.7349159
30,1213.7577,547.7454,0.70814914
31,1215.0433,548.44415,0.7221548
32,1215.6935,547.9454,0.6911477
33,1215.0704,549.4647,0.60223204
34,1218.4624,548.2112,0.6838821
35,1220.5101,548.56573,0.8092058
36,1222.274,547.41974,0.76421386
37,1222.4076,546.7165,0.7503618
38,1222.2402,545.52057,0.78847
39,1223.188,543.58624,0.74672914
40,1224.2618,542.62695,0.8225148
41,1228.402,541.0887,0.78529173
42,1232.8309,539.3478,0.75270665
43,1238.5924,537.6338,0.8438864
44,1240.7714,536.6299,0.866223
45,1244.0267,534.83826,0.7818867
46,1245.3593,535.34326,0.8484724
47,1246.687,535.05237,0.8036392
48,1250.2311,533.7739,0.84639347
49,1252.0244,533.4832,0.8822254
50,1254.7463,532.53754,0.81824684
51,1257.8186,531.9147,0.77839994
52,1259.1136,532.43646,0.8218876
53,1260.4324,531.9269,0.79220796
54,1259.9637,531.50867,0.7741215
55,1260.1829,531.38745,0.7727133
56,1260.9171,530.4949,0.7858053
57,1261.3182,530.46,0.78393227
58,1259.8181,530.5758,0.77378744
59,1260.5406,529.81635,0.76374364
60,1261.0258,529.63385,0.7414715
61,1260.5679,528.3191,0.730679
62,1260.5792,528.6546,0.7303414
63,1260.624,528.5283,0.70342475
64,1261.6599,527.9823,0.71308273
65,1262.0414,527.5008,0.7184213
66,1263.2146,526.3075,0.72813416
67,1263.1411,524.7625,0.7057965
68,1264.3785,522.6426,0.7329609
69,1264.4255,520.03613,0.72976285
70,1264.3081,518.47986,0.7329876
71,1264.3601,516.83105,0.7533593
72,1263.8391,515.65344,0.7217973
73,1264.4686,515.4196,0.69701666
74,1265.3536,515.46783,0.72270507
75,1266.1353,515.32916,0.77900887
76,1266.5945,515.06354,0.8030888
77,1267.1173,514.9556,0.83207715
78,1267.4623,514.8806,0.85024875
79,1267.5426,514.4838,0.81116325
80,1268.8287,514.28503,0.79337204
81,1281.2296,500.70575,0.12808196
82,1291.8284,479.1452,0.019688724
