scorer,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010
bodyparts,center of carapace,center of carapace,center of carapace
coords,x,y,likelihood
0,671.4066,330.81012,0.8074731
1,672.1824,329.63586,0.81483513
2,675.68097,327.6947,0.8641276
3,679.0323,327.52756,0.77661234
4,679.90955,328.74353,0.80327415
5,681.28143,329.382,0.85156184
6,681.2895,328.42953,0.85304606
7,679.02905,326.15918,0.690245
8,678.6295,325.89938,0.8051718
9,677.36957,328.4918,0.79996055
10,679.2454,329.8563,0.8334272
11,678.0824,332.9242,0.82755756
12,676.75275,336.54742,0.76915944
13,673.0614,334.40717,0.6510385
14,668.9437,335.80518,0.7493542
15,668.624,336.43854,0.7535821
16,669.4649,340.1244,0.73197687
17,670.3313,342.87082,0.7572751
18,669.5959,345.6718,0.7256065
19,666.6404,348.7856,0.7616775
20,665.8571,348.82126,0.7808281
21,665.9005,351.29822,0.73492235
22,668.9237,356.68872,0.73642737
23,670.5669,358.94528,0.7557906
24,672.2232,362.14792,0.76751184
25,673.79193,363.8336,0.83293474
26,675.1573,363.92474,0.9576144
27,675.7944,363.52716,0.9846528
28,676.5625,363.17392,0.96365
29,676.99084,362.0062,0.9346352
30,677.96,361.59665,0.8967092
31,679.3275,361.23602,0.8449928
32,679.48834,360.59442,0.83193254
33,680.5067,359.63828,0.8527419
34,680.65173,359.52112,0.8603687
35,682.0164,359.46072,0.90483004
36,682.80896,359.52017,0.8902925
37,686.0668,359.29346,0.86748827
38,688.43274,359.54358,0.7998669
39,691.11017,358.56485,0.84457016
40,692.53625,358.87137,0.8225175
41,693.5809,359.2735,0.8054516
42,694.46094,359.18268,0.78329355
43,696.55383,359.59457,0.7646914
44,697.99817,359.9619,0.8506427
45,698.49347,360.59006,0.8598696
46,700.6448,360.6901,0.8627343
47,703.25696,361.07138,0.78345317
48,705.10565,361.0261,0.77528024
49,708.0776,360.31433,0.8479001
50,709.6735,359.82703,0.8441034
51,712.547,360.06512,0.84488356
52,714.6318,360.4415,0.90006524
53,716.2702,361.5063,0.91998965
54,718.3697,361.9016,0.8743778
55,721.9431,361.21246,0.8343099
56,724.9099,360.76947,0.8908016
57,727.1639,359.6582,0.86599207
58,730.35297,359.47284,0.8919284
59,734.2352,358.04712,0.8639355
60,738.39307,356.68326,0.8576741
61,742.1329,355.7774,0.8497914
62,746.51373,355.49628,0.82745636
63,751.3504,353.21146,0.7431791
64,752.8654,352.93195,0.77818507
65,754.8461,351.90036,0.8338032
66,756.48724,351.0913,0.87688255
67,757.28314,349.4808,0.9297964
68,759.45654,347.76413,0.91288054
69,761.3643,344.9287,0.8973105
70,764.3284,343.3751,0.8541836
71,767.84235,341.4242,0.8023647
72,770.2949,339.3322,0.8282964
73,772.9581,338.1852,0.91392195
74,774.44806,336.2794,0.8794836
75,776.5213,334.8995,0.91889185
76,778.0416,332.6776,0.9679241
77,779.94135,330.58582,0.92887914
78,781.0516,328.09848,0.8543267
79,781.48566,325.0368,0.87257534
80,782.4104,323.42758,0.8506792
81,782.8629,321.3606,0.7965023
82,782.9662,319.34912,0.84146357
83,782.3645,317.3503,0.9049699
84,781.9715,315.667,0.94242424
85,779.1823,313.4493,0.9634036
86,777.87115,311.71115,0.9186392
