scorer,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010
bodyparts,center of carapace,center of carapace,center of carapace
coords,x,y,likelihood
0,868.4051,168.05368,0.53498167
1,857.11725,167.68692,0.57577395
2,842.9726,164.75055,0.48188215
3,836.86096,167.56433,0.4516678
4,823.608,167.93762,0.48278922
5,812.43134,170.21638,0.57923234
6,802.7424,175.1297,0.3835399
7,583.9932,848.6403,0.3054506
8,618.63025,968.14905,0.39776784
9,771.79095,183.70332,0.48193863
10,763.1291,186.99956,0.5226169
11,752.47815,191.27504,0.43904585
12,741.4475,196.00174,0.42182466
13,730.93195,200.51817,0.36041087
14,723.0042,206.66658,0.5266378
15,716.3017,212.02356,0.495315
16,707.22516,219.57625,0.62531835
17,699.65924,226.35182,0.5163114
18,692.20856,232.06363,0.51257384
19,686.11285,240.45607,0.4878032
20,679.0531,245.89291,0.5169336
21,610.9418,968.6933,0.4670628
22,668.50037,261.5083,0.624617
23,661.7448,268.42865,0.5493987
24,656.2013,275.77838,0.52794284
25,610.25964,966.07336,0.4743704
26,649.2965,292.30347,0.59331745
27,643.7352,301.6119,0.6083085
28,636.8397,310.32153,0.498544
29,630.1052,315.9217,0.5372174
30,626.518,321.61688,0.627564
31,625.2732,325.5608,0.6019516
32,622.2888,330.40976,0.7151782
33,617.2531,334.64435,0.8410729
34,612.1454,336.90854,0.8854666
35,606.2593,339.33905,0.8713006
36,602.86896,341.0523,0.88389766
37,598.868,342.31805,0.87006456
38,596.7638,345.5582,0.8738049
39,593.5476,347.9727,0.91068393
40,592.22015,349.7744,0.88965183
41,589.90625,352.8944,0.82883626
42,589.38446,354.8121,0.88934946
43,587.3713,356.47797,0.93507415
44,586.76324,358.70154,0.9304954
45,586.25757,360.59235,0.9265765
46,584.2527,363.21432,0.9408951
47,581.9276,366.49823,0.93726987
48,579.8117,368.6515,0.8809612
49,575.4629,370.50897,0.7777858
50,571.87286,373.54074,0.9256641
51,569.93304,375.90182,0.8834458
52,566.8816,379.49747,0.8597459
53,564.13544,381.79224,0.9288432
54,561.4728,383.89194,0.8713876
55,556.78705,386.34756,0.9087414
56,554.38983,387.75668,0.9667103
57,551.20654,389.26556,0.8815815
58,549.5396,392.402,0.93828756
59,547.035,394.45438,0.97632295
60,542.7907,396.14572,0.916497
61,539.04456,397.88983,0.95457953
62,536.93396,400.45947,0.88722205
63,533.6522,402.3193,0.9422192
64,530.4162,403.8869,0.9411928
65,525.58936,406.34964,0.92101264
66,523.14124,407.01868,0.9721196
67,521.08795,409.69092,0.9799917
68,516.9518,412.27155,1.0
69,513.53033,415.2365,0.9188605
70,508.41916,418.5361,0.9966563
71,506.8126,421.02264,1.0
72,504.38937,423.72018,0.95711553
73,501.7531,426.64435,0.9858688
74,500.1021,428.9775,1.0
75,496.60147,432.50397,0.89463925
76,491.4299,435.75922,0.9941115
77,488.5859,438.95547,0.93570995
78,484.48416,442.96994,0.9248875
79,479.30966,447.6568,0.8340595
80,474.92957,450.0788,0.94799036
81,472.9542,453.64282,1.0
82,469.83502,458.27588,0.9658751
83,466.2405,462.2377,0.97972286
84,460.4096,468.13562,0.98491335
85,458.79398,472.5458,0.9910466
86,454.79187,477.1565,1.0
87,450.56134,481.3653,0.9238263
