scorer,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180
bodyparts,LE,LE,LE,RE,RE,RE,MA_C,MA_C,MA_C
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,605.1806,361.91623,0.6349202,590.8262,321.44714,0.58395135,656.1504,330.10236,0.6765609
1,603.2236,363.6836,0.7426657,587.6493,320.94156,0.805158,651.5671,329.94965,0.8713213
2,599.24286,365.5767,0.88026464,584.89124,322.35324,0.8386572,647.6739,327.8492,0.8473538
3,596.00854,366.5755,0.84550846,581.5557,323.89746,0.8029711,645.40857,329.27048,0.7431397
4,591.8862,369.2434,0.75767034,578.16504,324.85495,0.83076173,645.6831,333.78357,0.75607395
5,589.3902,370.70938,0.8482428,576.38495,327.0778,0.8481963,642.52454,332.74878,0.7973888
6,588.63934,373.54214,0.83092415,573.7169,328.93567,0.85784715,640.82874,335.11166,0.8087654
7,584.2591,375.83032,0.8315143,570.50305,332.65897,0.8487897,637.1774,338.06082,0.920128
8,581.6927,377.48846,0.922452,567.9121,334.22998,0.765529,634.2779,341.12012,0.9461495
9,578.0448,376.87625,0.88945323,566.93835,334.26532,0.76621926,630.4003,340.93405,0.86727786
10,574.9789,377.99667,0.85522443,563.25085,336.0979,0.81502503,631.6406,339.73163,0.8485802
11,573.4928,380.61725,0.95940495,561.2518,336.45523,0.83892775,629.7006,343.39395,0.8170828
12,571.10223,381.80905,0.9109629,558.82715,335.99582,0.940122,629.20966,347.2848,0.92523736
13,567.509,382.59402,0.9520262,555.88153,340.5362,0.9003591,626.2954,349.13934,0.85264
14,565.0057,384.06107,0.9016853,554.83936,343.60242,0.81347144,622.6738,352.5635,0.86890304
15,564.084,386.05414,0.89056396,551.50165,345.3283,0.7360346,619.94403,355.06082,0.9786425
16,564.7144,387.27515,0.7998738,552.22156,345.6145,0.6973925,619.62,355.83173,0.98543215
17,565.4197,389.33612,0.8372439,550.82513,347.34784,0.623984,615.31793,355.7357,0.9057943
18,562.9694,389.09088,0.81349957,549.89905,347.33475,0.637618,614.1401,357.06848,0.8463262
19,561.6851,389.97314,0.7626232,549.95447,350.0372,0.66929173,616.25867,356.5792,0.84618455
20,559.9548,391.23788,0.82148093,547.2747,349.7381,0.7234411,614.01196,356.08148,0.83466214
21,556.95264,391.09717,0.85599047,547.943,348.83676,0.71404755,613.525,358.5534,0.84966964
22,557.5182,392.00378,0.791607,548.31525,349.20547,0.7215853,614.1941,359.71378,0.80743617
