scorer,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180,DLC_Resnet50_Fin_OCEEM_Attempt_1_9Jan9shuffle1_snapshot_180
bodyparts,LE,LE,LE,RE,RE,RE,MA_C,MA_C,MA_C
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1060.9219,743.8312,0.74895394,1027.2721,711.3197,0.56618327,1082.3658,698.3876,0.7279369
1,1058.9196,743.02795,0.757446,1027.9895,711.98846,0.53305715,1082.2052,697.3867,0.7176635
2,1056.5612,743.5649,0.6418752,1028.3969,712.6187,0.45243853,1085.2551,700.9312,0.71840113
3,1056.351,747.8322,0.86412436,1026.7432,711.60803,0.6516927,1083.5618,701.2309,0.9020286
4,1058.9064,743.2234,0.8109439,1026.7435,710.70667,0.70666647,1084.2863,698.28345,0.9207887
5,1058.3883,744.90656,0.7935584,1027.9998,711.2663,0.66782224,1085.0471,701.2474,0.8216389
6,1057.0787,749.0079,0.8620516,1027.9005,711.93134,0.6679186,1084.6868,700.86554,0.87671727
7,1058.4653,748.4304,0.8539606,1027.3851,711.0949,0.692782,1086.3513,700.7496,0.88986313
8,1057.2891,744.35223,0.7508385,1025.8713,709.93677,0.74183315,1084.6826,701.33136,0.8714321
9,1055.6428,745.0447,0.74472535,1026.3231,710.4497,0.6385378,1084.7974,702.3133,0.8105739
10,1055.1576,744.5568,0.66919994,1026.3088,711.3824,0.58455825,1084.2491,702.09235,0.79859364
11,1053.8228,744.65155,0.5695959,1026.407,711.0796,0.5604041,1084.6383,703.0551,0.7487616
12,1054.8693,747.03217,0.67796206,1025.9885,711.14374,0.562205,1085.4526,702.54834,0.79183066
13,1055.8002,747.0271,0.7952639,1026.1747,710.0137,0.6477192,1083.5251,701.37836,0.9242407
14,1056.8599,746.81274,0.84072,1025.5178,710.38165,0.6708342,1084.7808,701.17645,0.87210846
15,1055.6893,743.1743,0.72100466,1025.4326,710.27686,0.79257977,1085.8131,699.2752,0.8890379
16,1055.0282,743.5665,0.72820383,1026.3453,709.8408,0.8073854,1085.2916,700.1724,0.89955765
17,1055.8243,743.3865,0.7364799,1025.2751,710.49695,0.7517008,1083.7223,701.2931,0.8998556
18,1048.2561,740.2249,0.52776325,1025.541,711.52704,0.611141,1083.6783,702.52844,0.81778526
19,1049.9537,741.6126,0.59913325,1025.8717,711.2353,0.5771755,1083.5702,703.1019,0.77932096
20,1055.724,743.4901,0.70072556,1026.4675,711.7292,0.6328746,1085.0696,701.5832,0.8215275
