scorer,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010
bodyparts,center of carapace,center of carapace,center of carapace
coords,x,y,likelihood
170,19.794022,686.4578,0.014831682
171,19.810484,686.499,0.014971802
172,19.797321,686.382,0.01487845
173,19.774,686.4496,0.015534214
174,19.787153,686.56055,0.015057578
175,19.791582,686.1962,0.015047042
176,19.810642,686.15704,0.015230173
177,756.60486,1010.0034,0.017275002
178,19.825651,686.8316,0.014698722
179,19.745014,686.56647,0.014954997
180,757.42773,1009.5952,0.015574179
181,749.6098,1001.9149,0.017443957
182,772.16364,1004.04706,0.03984288
183,756.4767,1007.42725,0.01896597
184,19.77521,686.50555,0.015065759
185,766.3703,1003.3471,0.017778886
186,770.6798,1008.66473,0.015919141
187,19.732075,686.5358,0.014768512
188,758.8551,1008.7071,0.0291276
189,759.16675,1009.40936,0.022754496
190,784.06744,1005.57007,0.032223586
191,782.00616,1005.3179,0.019049425
192,773.37976,1010.4061,0.01782548
193,774.68097,1010.1189,0.018250484
194,787.0922,1008.86694,0.045535974
195,782.4046,1005.44147,0.026639868
196,787.25494,1008.5268,0.022728061
197,786.2366,1007.25476,0.039673563
198,785.32623,1005.7111,0.10875134
199,789.04047,1005.9775,0.1550491
200,784.9559,1003.9524,0.13887772
201,785.414,1002.2291,0.20742123
202,783.83093,1001.1077,0.20379515
203,782.7569,1002.11206,0.26604384
204,784.4385,1001.45056,0.16219068
205,784.02716,1001.6701,0.20303947
206,783.22925,1001.881,0.188607
207,782.9697,1000.7994,0.059514157
208,773.675,995.8875,0.020932123
209,19.799252,686.52466,0.015465528
210,19.65195,686.41003,0.015966713
211,19.703915,686.55383,0.0156228
212,19.636045,686.68884,0.0159993
213,862.8254,745.24585,0.13290645
214,19.686054,686.71295,0.015386639
215,19.716558,686.3111,0.015439509
216,19.824377,686.31555,0.01543938
217,19.831358,686.4531,0.014981283
218,19.811256,686.55786,0.015063916
219,19.78226,686.5377,0.014983589
220,19.861475,686.5978,0.014911993
221,19.796404,686.6786,0.014960658
222,19.730377,686.52844,0.015233826
223,19.726637,686.57825,0.015693381
224,19.736454,686.7653,0.015908478
225,19.769278,686.75507,0.015342948
226,19.797049,686.7465,0.015485193
227,469.4344,849.53204,0.015857654
228,19.797272,686.5396,0.015008834
229,19.785961,686.6151,0.015438302
230,483.59662,835.186,0.0150819905
231,19.800598,686.8286,0.01540377
232,525.9305,788.4748,0.017712612
233,19.77188,686.6247,0.01498393
234,19.802473,686.59924,0.015383263
235,478.58478,830.82825,0.017582135
236,478.28445,830.1825,0.015283184
237,19.786703,686.688,0.014804853
238,19.813175,686.7434,0.014544581
