scorer,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010,DLC_Resnet50_Thesis_Crab_9_25Sep25shuffle1_snapshot_010
bodyparts,center of carapace,center of carapace,center of carapace
coords,x,y,likelihood
0,961.94617,244.56885,0.65299463
1,969.983,245.0799,0.5576965
2,969.8279,244.44426,0.83083785
3,968.3591,243.92928,0.7519016
4,969.39154,242.72963,0.7749619
5,968.7359,242.55203,0.68286
6,969.8452,242.2818,0.7006662
7,970.96326,241.63918,0.7266705
8,976.448,241.4054,0.6910796
9,975.98145,241.02005,0.7167975
10,973.7212,241.55223,0.71716326
11,973.5739,242.95201,0.6407228
12,976.9674,243.27939,0.7639082
13,981.4047,240.577,0.7548395
14,985.01733,239.17305,0.79205304
15,983.3995,240.51974,0.7499145
16,983.8834,241.84631,0.7850047
17,986.4187,242.88115,0.9487658
18,991.084,239.12631,0.8226094
19,995.395,236.51334,0.9746029
20,994.77563,236.87384,0.9197261
21,996.3119,236.7651,0.9380894
22,998.44727,235.34717,0.86473596
23,1001.94135,233.54926,0.9243201
24,1003.716,232.47867,0.88701105
25,1005.617,231.66907,0.82810414
26,1008.01086,229.8343,0.8235182
27,1011.1131,229.12726,0.79736954
28,1012.6718,228.24843,0.80640084
29,1013.48035,227.69417,0.79688257
30,1015.8325,227.55923,0.83040726
31,1018.4728,227.21468,0.9439368
32,1020.28455,226.3836,0.93643594
33,1021.6323,227.04552,0.8473881
34,1024.8059,227.28482,0.84709585
35,1026.8593,226.84088,0.86025214
36,1029.3616,227.27899,0.87189794
37,1031.867,228.06998,0.86551857
38,1034.2142,229.16048,0.9142528
39,1036.0071,228.86845,0.92104775
40,1037.2147,228.80782,0.8904059
41,1040.327,227.81053,0.8352831
42,1042.4707,227.7851,0.85876113
43,1043.1868,228.85275,0.8570478
44,1045.2389,229.86801,0.8804369
45,1047.2338,230.78891,0.8523061
46,1048.8999,231.53864,0.8919901
47,1050.8689,233.03345,0.95910585
48,1051.5056,234.6993,1.0
49,1052.9572,237.45213,0.9646071
50,1055.6785,238.98111,0.8581024
51,1059.2056,239.12346,0.92627144
52,1060.2794,240.21503,0.90758884
53,1061.9556,240.51663,0.8314518
54,1064.2299,243.09659,0.8734546
55,1066.8187,243.86804,0.95586586
56,1069.5166,245.19463,0.92888653
57,1073.5643,248.18657,0.83900356
58,1076.373,249.97041,0.9419547
59,1078.4685,250.66425,0.91148484
60,1079.7094,252.05573,0.92687255
61,1080.9026,254.11871,0.9605707
62,1081.5366,255.83888,0.9364982
63,1083.1283,257.66708,0.97256535
64,1084.5986,259.24033,0.9463222
65,1086.9323,260.3817,0.8673434
66,1091.0425,262.39008,0.8453574
67,1095.0038,264.43213,0.78710586
68,1097.5059,266.10324,0.90567595
69,1099.0891,268.87595,0.95659727
70,1100.4039,271.63196,0.8609576
71,1103.4565,273.34076,0.7993105
72,1105.0498,274.5814,0.8697533
73,1106.4983,275.9942,0.8966233
74,1107.7236,277.52,0.90878755
75,1108.7628,279.0184,0.86688024
76,1110.801,281.07327,0.85801417
77,1113.5364,284.14362,0.8816794
78,1114.5089,287.2932,0.88746274
79,1117.1051,290.6469,0.861226
80,1118.5796,292.1037,0.7914054
81,1121.8845,293.36694,0.8826322
82,1123.3236,295.44174,0.86865973
83,1125.8397,297.49948,0.84362686
